условие,n,крупный,крупный_p,мелкий,мелкий_p,средний,средний_p,"одиночек, %","одиночек, %_p","тип-одиночек, %","тип-одиночек, %_p",смысловые: радиус,смысловые: радиус_p,служебные: радиус,служебные: радиус_p,смысловые: зазор,смысловые: зазор_p,смысловые: ячеек,смысловые: ячеек_p,черешок одиночки,черешок одиночки_p,до бл. при k=1,до бл. при k=1_p,до бл. при k=2,до бл. при k=2_p,"длинных листьев, %","длинных листьев, %_p",оба одиночки / случай,оба одиночки / случай_p,p10/p50,p10/p50_p,p90/p50,p90/p50_p,p99/p50,p99/p50_p,длинные: CV,длинные: CV_p,рёбра: CV,рёбра: CV_p,"стоков, %","стоков, %_p","доля смысловые, %","доля смысловые, %_p","доля служебные, %","доля служебные, %_p","доля пунктуация, %","доля пунктуация, %_p"
перемешивание,50,-10.913534178749607,2.81308842886574e-09,36.516023603711204,1.7763568394002505e-15,0.0,0.01330480151673541,0.0,0.019067043399514816,0.0,0.016637745581261854,17.4288997236098,1.7763568394002505e-14,10.735974669131073,1.34718902700115e-11,-15.57421154741687,2.4868995751603507e-14,-5.661881977671446,0.38282871794774687,-0.7843769999205716,0.006325487527247375,-1.2337529801204161,0.0035436448551049438,16.93304271896511,5.329070518200751e-15,-3.929794520547958,0.00978202043155491,3.001061128048557,0.064886242135481,23.110746136258804,1.7763568394002505e-15,-0.887264538191938,0.0009504084140701252,0.0,0.11393994202132163,17.108848545904777,5.318447904301138e-10,-17.072559386726283,5.329070518200751e-15,-5.4093567251462105,0.6036595872677215,0.0,0.5082528931731052,0.0,0.06710983249744128,0.0,0.15476422369354884
эхо x2,50,3.562116582070976,0.0362699414949752,-39.52853474978989,1.7763568394002505e-15,-24.376459468723933,2.433608869978343e-13,-42.31086839765326,1.7763568394002505e-15,-29.7256769654312,1.7763568394002505e-15,-22.052626539961555,8.881784197001252e-15,-10.819557653773623,1.5631940186722204e-13,37.10311800814691,5.329070518200751e-15,119.44444444444446,1.1059204367044144e-09,1.6424840638233704,5.897913268881894e-10,2.8097257563257156,3.0020430585864233e-13,-31.751232387352,3.552713678800501e-15,-27.97339593114241,7.533040895340026e-10,6.739922850866657,0.007380741603101981,-36.57757186398442,1.7763568394002505e-14,9.40103963729611,3.6770586575585185e-13,7.442505856354285,5.310079487230723e-09,-17.54320941962942,3.863753761379485e-11,32.146841555845654,1.7763568394002505e-15,12.549019607843132,0.3939558459437943,0.0,0.3420903941674931,0.0,0.31981398537274586,-3.523351648351647,0.07578206263439403
эхо x4,50,-8.022638142962816,0.002614123910062105,-57.009027579832065,1.7763568394002505e-15,-59.72038799890248,1.7763568394002505e-15,-79.58196933554878,1.7763568394002505e-15,-64.64048601962445,1.7763568394002505e-15,-35.28795995241171,1.7763568394002505e-15,-26.698518962247608,1.7763568394002505e-15,70.55802779865586,1.7763568394002505e-15,155.4824561403509,7.544976683806675e-10,4.966656811511609,6.337863567296154e-11,5.8488373380003456,1.34718902700115e-11,-47.4273331321066,1.7763568394002505e-15,-64.3076923076923,7.548390027588037e-10,22.40634440760802,0.009116960633276605,-48.74373069867139,1.7763568394002505e-15,64.67038058271048,1.7763568394002505e-15,62.65809869116914,1.7763568394002505e-15,-17.06978192840694,3.7055123414120317e-09,102.59538667744077,1.7763568394002505e-15,16.02564102564104,0.10728644323577409,5.224593819687791,0.012579402862732956,0.0,0.5987948767053966,-6.073059360730595,0.014803640688903136
эхо на четверти,50,0.0,0.7521534307154649,-19.080500218263357,1.7763568394002505e-15,-9.890978109085454,6.337863567296154e-11,-15.15653917165736,5.329070518200751e-15,-8.699167388703719,5.329070518200751e-15,-13.560671928582682,4.218847493575595e-12,-3.236535974540189,1.1033688904760197e-05,17.96037264619167,3.8819791825517314e-10,50.86021505376345,5.184101524912629e-09,0.0,0.13045894629165566,0.0,0.02616696817119646,-16.613802474859376,3.6770586575585185e-13,-8.975834292289992,2.9105423343546054e-07,8.372752648175139,1.4543591948523726e-06,-10.786651364513759,3.489741828843762e-10,2.1509690301883135,8.008242957657785e-10,2.1163137036916786,0.00014253035612021847,-3.1438277077956864,0.0007847371187263974,12.38937938868368,2.433608869978343e-13,0.0,0.7846935398536228,0.0,0.10692233087231927,3.304234903686599,0.01873141291983262,-3.5185185185185217,0.03408789539563297
словарь к 25,50,-31.20598230969861,1.7763568394002505e-15,41.20374093847416,1.7763568394002505e-15,-50.80177533905614,1.7763568394002505e-15,-60.26804308936513,1.7763568394002505e-15,-30.554466347230854,1.7763568394002505e-15,25.21849473149756,1.7763568394002505e-15,6.844506947830997,4.9604764740251994e-11,-27.834691583880055,1.7763568394002505e-15,30.90185676392574,1.0787781547348003e-06,0.0,0.46647302992520423,0.844882667615337,0.008333363871146915,5.2363410555366,1.8673260271384606e-07,-35.03246753246754,8.26031637422554e-10,45.20647309098458,9.521272659185342e-13,38.83060258599264,1.7763568394002505e-15,30.16175170141725,1.7763568394002505e-15,31.553909177511752,1.7763568394002505e-15,27.161024205886676,1.9539925233402755e-13,4.915999097011669,3.256713547727941e-07,-3.5714285714285783,0.3879914843454434,0.0,0.15777756863686265,7.048503611971116,0.0052719840467915086,-5.085470085470082,0.005103290643659611
словарь к 60,50,-16.452275872174408,5.329070518200751e-15,19.663673342030492,1.7763568394002505e-14,-34.21754275706482,1.7763568394002505e-15,-40.26914975961468,1.7763568394002505e-15,-20.14295454504046,1.7763568394002505e-15,14.869541221197863,1.7763568394002505e-14,7.544673408390495,2.8132163265581767e-10,-20.175858513374077,1.7763568394002505e-15,47.4712643678161,8.997199813440868e-10,0.0,0.6596977023333945,0.0,0.20795951830847592,4.588409643790355,4.6469730756726335e-05,-18.868670886075957,2.676148217598449e-09,18.046022792943194,7.946967700789287e-06,22.04023562311684,1.7763568394002505e-15,13.923887202464755,1.7763568394002505e-15,15.731997913665385,3.552713678800501e-15,12.111022632981818,8.855280952957401e-10,0.0,0.01806109651468013,-9.545454545454547,0.3758097242756262,0.0,0.025528787811920778,7.319302721088442,4.5215840397048033e-05,-4.722222222222213,0.0644980651518361
все слова разные,50,-14.039901250845926,6.590283874174929e-13,31.92440509596875,1.7763568394002505e-15,7.777078767185837,0.0006207713421488847,32.345414410404594,1.7763568394002505e-15,16.219857179768844,1.7763568394002505e-15,,,0.0,0.07082612042920822,,,,,-3.4717001228669853,4.218847493575595e-12,-3.6253071090016817,4.218847493575595e-12,3.409395102305023,0.02122367163684835,-5.3342816500711345,0.003911463251839592,-5.528160007232339,0.0014315119741414861,15.95158579325579,3.375077994860476e-14,0.0,0.09709384967839618,0.0,0.3325668996889135,32.81836850119316,5.707434524993005e-12,-13.946081563543464,1.7763568394002505e-15,-5.718954248366018,0.8832860794174824,11.622889305816129,7.091204136686597e-07,-7.738369415016128,4.6883302696617466e-07,-3.0188106796116423,0.14917130263569914
чужие хапаксы,50,-17.201896379074565,1.7763568394002505e-15,13.029212032790905,1.9539925233402755e-13,-9.99976066544416,1.2434497875801753e-14,3.5274300881435265,0.00014903614355255002,1.6270536632973711,0.0021981232450851707,0.0,0.6321732707310517,0.0,0.03453081197041463,0.0,0.18444897927691706,0.0,0.922257859652062,-3.3407786224329215,8.881784197001252e-15,-3.7933997802527366,3.552713678800501e-15,0.0,0.6051405400941228,-15.351812366737741,4.29698235349077e-09,9.046743443983893,2.1246773229677274e-09,12.680206876488631,1.2434497875801753e-13,1.940283630657689,1.1645574410579229e-05,3.7375412459000654,9.051156624195755e-08,23.173335341550512,9.769962616701378e-14,-5.063361126227578,4.8571529021046445e-09,0.0,0.5515267539471564,2.6875901875901773,0.0016372136043507329,0.0,0.03170941168987962,-4.322139303482595,0.005427365579050889
хапаксы одного домена,50,-17.272963114137866,1.7763568394002505e-15,11.973597896903222,1.8989254613188677e-12,-10.040452243736484,3.375077994860476e-14,3.065389351846011,0.005579489549422334,0.0,0.01574343835962111,0.0,0.4547879869752496,0.0,0.052989788310034314,-3.9414691958596664,0.00594215911497642,0.0,0.66803629134274,-3.420812684775121,2.4868995751603507e-14,-3.5444607713041463,1.2434497875801753e-14,0.0,0.24513084584396871,-15.484515484515487,6.073069259284381e-09,7.537636874445066,1.6198182883897516e-07,11.546365067091543,1.2434497875801753e-13,1.7083019362933463,5.367254770405339e-06,4.2057214184158305,1.4492140820721033e-09,21.84917683832852,1.3535839116229909e-12,-4.083633336104131,2.305757291765076e-07,7.692307692307677,0.28976454456166123,0.0,0.03329804951799976,0.0,0.012166015220995119,-5.398550724637677,0.0045641116628673
маркер каждые 3,50,0.0,0.7089524432753507,71.16764481381064,1.7763568394002505e-15,-17.001312435855414,3.552713678800501e-15,-14.173183441030412,3.552713678800501e-15,2.326713943561412,0.006131180232502587,15.070205144149456,1.7763568394002505e-14,6.663662135042506,6.3368066349767105e-09,-9.582045624447527,3.3822118439275073e-09,-17.15686274509804,0.00017723113779638964,2.0442494317041335,3.863753761379485e-11,2.054795225204221,1.3535839116229909e-12,12.164598389858702,4.440892098500626e-14,0.0,0.9961480164721345,20.903265844000213,3.0020430585864233e-13,5.043117340326132,0.005579489549422334,6.805231406342963,1.2434497875801753e-14,6.954716177175041,3.40367733997482e-11,0.0,0.022974872408266123,10.310935215292732,2.6343371928305714e-12,6.4583333333333215,0.5369383038308919,37.02050466756349,7.546683182364463e-10,-20.647441700073283,1.0860387708839488e-09,-24.34580582049401,1.2553372862856005e-09
