name,PC1,PC2,PC3,group
loop/echo6w_x2,-188.8,-63.0,14.3,loop
loop/echo6w_x4,-372.9,-66.2,30.5,loop
loop/tail_keep60_unit1w,-266.8,-46.5,49.4,loop
loop/tail_keep60_unit3w,-320.8,-17.9,64.7,loop
loop/tail_keep40_unit3w,-404.5,31.7,51.0,loop
loop/tail_keep40_unit3w_drift,-341.9,-2.0,87.2,loop
loop/tail_keep20_unit3w,-436.9,123.1,45.2,loop
loop/phrase12w_x4,-423.4,205.2,8.8,loop
vocab/top60,-137.6,123.3,-35.4,vocab
vocab/top25,-159.7,219.6,-49.6,vocab
vocab/top10,-135.1,283.3,-50.8,vocab
vocab/expand50,108.9,79.3,35.4,vocab
vocab/expand100,178.5,105.6,48.2,vocab
deplete/lexdiv_down,-45.9,-0.7,-13.8,deplete
deplete/ideas_down,-230.2,60.4,15.1,deplete
enrich/lexdiv_up,126.6,4.8,17.9,enrich
enrich/topics_up_hard,219.8,1.8,26.3,enrich
rarity/common_words,-10.9,10.5,0.0,rarity
rarity/rare_words,30.5,-2.9,-0.6,rarity
style/simplified,-101.5,25.0,-1.3,style
style/dialogue_interj,-97.1,36.4,29.3,style
style/telegraphic,14.9,36.1,37.7,style
style/scientific_terms,48.5,-10.4,10.4,style
style/bulletin_abbrev,55.7,53.6,40.4,style
style/news_dates,77.6,10.8,-1.6,style
style/literary,164.0,-1.0,-2.4,style
shuffle/words,68.1,116.1,-24.2,shuffle
splice/every2nd_sent,135.1,11.7,15.3,splice
splice/all_sents,251.9,33.2,22.7,splice
ngram/n4,191.4,19.6,22.3,ngram
ngram/n2,265.9,67.8,44.2,ngram
syntax/burst_1to4,10.3,4.2,-18.5,syntax
syntax/no_sent_bounds,47.3,19.0,-8.6,syntax
syntax/drop_funcwords,76.9,48.4,33.8,syntax
surface/lowercase,-2.5,3.2,-12.4,surface
surface/numbered_list,-17.2,-1.4,13.4,surface
surface/digits_add,-6.4,49.8,28.1,surface
surface/punct_add,-1.3,64.7,-55.4,surface
surface/punct_strip,90.0,30.3,-12.4,surface
surface/typos,37.8,13.8,2.2,surface
surface/caps_terms,72.5,6.1,3.2,surface
