contrast,mode,q,n,diff,rel,effect
lexical_diversity_up − lexical_diversity_down,q0.5_range,0.0,190,3.254647438845947,0.6852355896991777,2.1317165467559116
lexical_diversity_up − lexical_diversity_down,q0.5_range,0.05,190,4.159505113847676,0.777869422848157,2.0445480745757876
lexical_diversity_up − lexical_diversity_down,q0.5_range,0.1,190,5.443727153991665,0.9107494555675578,1.9935170789541934
lexical_diversity_up − lexical_diversity_down,q0.5_range,0.15,190,7.2398418339733945,1.0548642628659353,2.1584666251790856
lexical_diversity_up − lexical_diversity_down,q0.5_range,0.2,190,8.884765412186923,1.1001411722133794,2.4923063968209225
lexical_diversity_up − lexical_diversity_down,q0.5_range,0.25,190,9.706364575740427,1.0082480123033395,2.703504757778122
lexical_diversity_up − lexical_diversity_down,q0.5_range,0.3,190,9.599002601290191,0.8417295500789479,2.592803825780254
lexical_diversity_up − lexical_diversity_down,q0.5_range,0.35,190,8.808954927314842,0.6707398347235807,2.2411860628020364
lexical_diversity_up − lexical_diversity_down,q0.5_range,0.4,190,7.653547468188731,0.5266496270778995,1.865559411717231
lexical_diversity_up − lexical_diversity_down,q0.5_range,0.45,190,6.402934426244873,0.4136735830921249,1.5674599086271055
lexical_diversity_up − lexical_diversity_down,q0.5_range,0.5,190,4.939814477468132,0.304768550045039,1.2753189727809806
lexical_diversity_up − lexical_diversity_down,q_large,0.0,190,4.0434646924703515,0.4901957778130072,2.0521939094671366
lexical_diversity_up − lexical_diversity_down,q_large,0.05,190,4.1151753494907615,0.5191720814723705,2.0759075476617284
lexical_diversity_up − lexical_diversity_down,q_large,0.1,190,4.111940741482359,0.5394344106313097,2.0995058984946073
lexical_diversity_up − lexical_diversity_down,q_large,0.15,190,4.083292380113563,0.5592263846598761,2.117790257873813
lexical_diversity_up − lexical_diversity_down,q_large,0.2,190,4.034615643773509,0.5790511446763281,2.1312467119963654
lexical_diversity_up − lexical_diversity_down,q_large,0.25,190,3.968837501970122,0.5993113236910678,2.140341002618781
lexical_diversity_up − lexical_diversity_down,q_large,0.3,190,3.886243449521669,0.6200856999353546,2.149710803654801
lexical_diversity_up − lexical_diversity_down,q_large,0.35,190,3.7820341232498036,0.6407669352534368,2.1582692661393783
lexical_diversity_up − lexical_diversity_down,q_large,0.4,190,3.6501451244311416,0.660458462736261,2.1627508432620437
