perturbation,mode,q,n,d0,delta,rel,effect
add_linebreaks,q0.5_range,0.0,200,4.868834044029737,-0.25717964419702866,-0.050011510464314346,-0.677296387724492
add_linebreaks,q0.5_range,0.05,200,5.493228688367082,-0.2916898276019085,-0.05083578030545221,-0.6891324752377854
add_linebreaks,q0.5_range,0.1,200,6.135708380205817,-0.29460952366448184,-0.04617440604302058,-0.6175514024736218
add_linebreaks,q0.5_range,0.15,200,7.041429811325168,-0.32682761332500687,-0.04433988901837606,-0.5759977532160574
add_linebreaks,q0.5_range,0.2,200,8.314702473197487,-0.3783799204594084,-0.043084689886052095,-0.5340980633238833
add_linebreaks,q0.5_range,0.25,200,9.958781754716112,-0.4191603115664264,-0.03941458393405024,-0.4845344384009062
add_linebreaks,q0.5_range,0.3,200,11.792150225515147,-0.4415185474745262,-0.0344657142109309,-0.44781067128549734
add_linebreaks,q0.5_range,0.35,200,13.483253706856171,-0.45500555157070527,-0.030640841051391764,-0.44324411216918835
add_linebreaks,q0.5_range,0.4,200,14.76606034226928,-0.49856747957140923,-0.030409179740772663,-0.4758288198992755
add_linebreaks,q0.5_range,0.45,200,15.551153906749601,-0.5336801973980524,-0.030283581044838952,-0.4666808373208782
add_linebreaks,q0.5_range,0.5,200,16.158172757975546,-0.4526131949723808,-0.02358998968941399,-0.35381152685299105
add_linebreaks,q_large,0.0,200,8.332040262983808,-0.31718464888741205,-0.035447182430142866,-0.5950170980497792
add_linebreaks,q_large,0.05,200,8.019165989233327,-0.32568258328851046,-0.03805855418505479,-0.634935739963426
add_linebreaks,q_large,0.1,200,7.733865298584845,-0.3183346531785983,-0.03880497117350925,-0.6436370146087863
add_linebreaks,q_large,0.15,200,7.425417331867411,-0.3069178728981399,-0.039094241416116636,-0.6392170613571245
add_linebreaks,q_large,0.2,200,7.10069037973331,-0.2970539875312523,-0.03962280470174551,-0.6350857249478316
add_linebreaks,q_large,0.25,200,6.761326990986117,-0.28757663234208014,-0.040305312411699816,-0.631187006192278
