contrast,mode,q,n,diff,rel,effect
ideas_up_v2 − ideas_down_v2,q0.5_range,0.0,191,2.4650664457037035,0.4992722121651284,2.1102436527616835
ideas_up_v2 − ideas_down_v2,q0.5_range,0.05,191,3.0071823055224325,0.5411968619799625,2.157900752050164
ideas_up_v2 − ideas_down_v2,q0.5_range,0.1,191,3.6375452117923315,0.587430054619982,2.1858264271887315
ideas_up_v2 − ideas_down_v2,q0.5_range,0.15,191,4.568532690628152,0.6442291411269464,2.1739997979466126
ideas_up_v2 − ideas_down_v2,q0.5_range,0.2,191,5.817465273184828,0.6964346414660505,2.1868953832767586
ideas_up_v2 − ideas_down_v2,q0.5_range,0.25,191,7.142371501593124,0.7156452279298304,2.285481482035641
ideas_up_v2 − ideas_down_v2,q0.5_range,0.3,191,8.129933478546258,0.6884739002268457,2.388087760793738
ideas_up_v2 − ideas_down_v2,q0.5_range,0.35,191,8.501477895415784,0.6286586878234093,2.3772224956795034
ideas_up_v2 − ideas_down_v2,q0.5_range,0.4,191,8.25148021339956,0.5554592204467553,2.2203996273853135
ideas_up_v2 − ideas_down_v2,q0.5_range,0.45,191,7.5366123072368305,0.47948560531585965,1.9836849442115696
ideas_up_v2 − ideas_down_v2,q0.5_range,0.5,191,6.689693794425012,0.40814698536313626,1.7818354413067492
ideas_up_v2 − ideas_down_v2,q_large,0.0,191,3.626452639920812,0.4298033714398975,2.16426680089071
ideas_up_v2 − ideas_down_v2,q_large,0.05,191,3.592071590952975,0.4423385174770724,2.157051485809724
ideas_up_v2 − ideas_down_v2,q_large,0.1,191,3.5619804369163486,0.4551126193544946,2.168736212392124
ideas_up_v2 − ideas_down_v2,q_large,0.15,191,3.506565007535476,0.4669487645078302,2.1766107713729923
ideas_up_v2 − ideas_down_v2,q_large,0.2,191,3.4290941154588657,0.4777901943884265,2.1820527803321226
ideas_up_v2 − ideas_down_v2,q_large,0.25,191,3.33290417196122,0.4879175570462984,2.1855129070476327
ideas_up_v2 − ideas_down_v2,q_large,0.3,191,3.2179674801696674,0.49709471151596024,2.1849877806686475
ideas_up_v2 − ideas_down_v2,q_large,0.35,191,3.0804315222687464,0.5045264096289158,2.1805100342323165
ideas_up_v2 − ideas_down_v2,q_large,0.4,191,2.9148162595362606,0.5090567560497908,2.171681920257473
ideas_up_v2 − ideas_down_v2,q_large,0.45,191,2.7134865990359383,0.5085657409153168,2.1525646556105764
ideas_up_v2 − ideas_down_v2,q_large,0.5,191,2.4650664457037035,0.4992722121651284,2.1102436527616835
ideas_up_v2 − ideas_down_v2,q_large,0.55,191,2.1583486329212676,0.47553504071490493,2.021357925430369
ideas_up_v2 − ideas_down_v2,q_large,0.6,191,1.7871225251940719,0.42969330245708914,1.855642190480197
ideas_up_v2 − ideas_down_v2,q_large,0.65,191,1.3590059939370207,0.3542487377610459,1.5846228056165261
ideas_up_v2 − ideas_down_v2,q_large,0.7,191,0.9035777448119702,0.24904963247593898,1.1868947888877641
ideas_up_v2 − ideas_down_v2,q_large,0.75,191,0.4677594114945433,0.12724041697802707,0.6677011381563648
ideas_up_v2 − ideas_down_v2,q_large,0.8,191,0.09432075885361864,0.010922717743764796,0.13378322292335798
ideas_up_v2 − ideas_down_v2,q_large,0.85,191,-0.1882066785857942,-0.07991776303251631,-0.24902425760347238
ideas_up_v2 − ideas_down_v2,q_large,0.9,191,-0.34869706937212147,-0.13245635938056394,-0.4458946744496433
ideas_up_v2 − ideas_down_v2,q_small,0.0,191,3.626452639920812,0.4298033714398975,2.16426680089071
ideas_up_v2 − ideas_down_v2,q_small,0.05,191,3.966014644338345,0.4521130609692247,2.1875984543426723
ideas_up_v2 − ideas_down_v2,q_small,0.1,191,4.418537658067309,0.48393418792704956,2.2186316366782854
ideas_up_v2 − ideas_down_v2,q_small,0.15,191,5.127719143611354,0.5268484686867366,2.2325491370841037
ideas_up_v2 − ideas_down_v2,q_small,0.2,191,6.046127488582949,0.5684272955710207,2.259010774557131
ideas_up_v2 − ideas_down_v2,q_small,0.25,191,6.962848855187042,0.5899311557789809,2.3208643771822643
ideas_up_v2 − ideas_down_v2,q_small,0.3,191,7.6045122576198585,0.5811354014525366,2.348655359130355
ideas_up_v2 − ideas_down_v2,q_small,0.35,191,7.819266045102967,0.547827126647129,2.279030429610403
ideas_up_v2 − ideas_down_v2,q_small,0.4,191,7.6447051773021695,0.5026194249889436,2.1257250032062003
ideas_up_v2 − ideas_down_v2,q_small,0.45,191,7.223424280316727,0.4547071266577043,1.9469627542838612
ideas_up_v2 − ideas_down_v2,q_small,0.5,191,6.689693794425012,0.40814698536313626,1.7818354413067492
ideas_up_v2 − ideas_down_v2,q_small,0.55,191,6.1246185972998415,0.36451803171535935,1.638906810755902
ideas_up_v2 − ideas_down_v2,q_small,0.6,191,5.564822494851182,0.32419827315785227,1.5078512423030523
ideas_up_v2 − ideas_down_v2,q_small,0.65,191,5.014675846747884,0.2864406619672964,1.3747921009233848
ideas_up_v2 − ideas_down_v2,q_small,0.7,191,4.477378416094929,0.25084453007279345,1.2319972336285159
ideas_up_v2 − ideas_down_v2,q_small,0.75,191,3.950474799659925,0.21701542042657543,1.0773486300695738
ideas_up_v2 − ideas_down_v2,q_small,0.8,191,3.4138221229442194,0.1832926127983062,0.9099987880913817
ideas_up_v2 − ideas_down_v2,q_small,0.85,191,2.872107759672038,0.1497589108731612,0.7327887567768674
ideas_up_v2 − ideas_down_v2,q_small,0.9,191,2.4030528654945287,0.12143181273075289,0.5695750860857309
