perturbation,mode,q,n,d0,delta,rel,effect
ideas_down_v2,q0.5_range,0.0,191,4.860661101480485,-1.8320839145788836,-0.3615034945373515,-1.7006466311096393
ideas_down_v2,q0.5_range,0.05,191,5.484414383259366,-2.2250198932746836,-0.3908047199025436,-1.7515964938024178
ideas_down_v2,q0.5_range,0.1,191,6.126283268433688,-2.6192990076874683,-0.413222029362845,-1.7767084659638521
ideas_down_v2,q0.5_range,0.15,191,7.029173976533888,-3.1640614807375256,-0.4351385273866554,-1.759571868963309
ideas_down_v2,q0.5_range,0.2,191,8.298483095664924,-3.9293109378660676,-0.45755154866410547,-1.7327616750334578
ideas_down_v2,q0.5_range,0.25,191,9.939420070912485,-4.893333531991615,-0.476444357806857,-1.7383773472460045
ideas_down_v2,q0.5_range,0.3,191,11.77269814127008,-5.875505129321564,-0.4848708108976578,-1.784166514708092
ideas_down_v2,q0.5_range,0.35,191,13.466816860752356,-6.561928279001544,-0.4754426678023943,-1.8159787576499131
ideas_down_v2,q0.5_range,0.4,191,14.750864989444896,-6.722893667962178,-0.44493757276421475,-1.7585877639642815
ideas_down_v2,q0.5_range,0.45,191,15.536334969521118,-6.336712759714135,-0.3959080211959804,-1.6025945945128732
ideas_down_v2,q0.5_range,0.5,191,16.149253307337904,-5.760184273424668,-0.34405280107479497,-1.4731130475603482
ideas_down_v2,q_large,0.0,191,8.3213606346532,-2.809737912396328,-0.32794461551494025,-1.7173619040412649
ideas_down_v2,q_large,0.05,191,8.007674988399565,-2.7682931027034385,-0.33568411820967403,-1.7152375070832528
ideas_down_v2,q_large,0.1,191,7.722665124928419,-2.7395910307635423,-0.34474154201234064,-1.7388810625059183
ideas_down_v2,q_large,0.15,191,7.41466402839246,-2.6883970829877315,-0.3524581564799884,-1.7511864969247748
ideas_down_v2,q_large,0.2,191,7.090282936802459,-2.6216938684098596,-0.35938135098496515,-1.7556033526889927
ideas_down_v2,q_large,0.25,191,6.751339437502469,-2.5408736164454595,-0.36563575670565196,-1.7566887288360744
ideas_down_v2,q_large,0.3,191,6.399601202718279,-2.4467837092864815,-0.37117928565734987,-1.756932124801907
ideas_down_v2,q_large,0.35,191,6.035099821098166,-2.3360468975440978,-0.3753003662681662,-1.7549502952945648
ideas_down_v2,q_large,0.4,191,5.656777473244847,-2.2019219615454673,-0.3766208453296384,-1.7490483052014933
ideas_down_v2,q_large,0.45,191,5.264837150318082,-2.0371771374077494,-0.3731231346420456,-1.7349739577017518
ideas_down_v2,q_large,0.5,191,4.860661101480485,-1.8320839145788836,-0.3615034945373515,-1.7006466311096393
ideas_down_v2,q_large,0.55,191,4.4501807706080925,-1.579169938155232,-0.3374850680806617,-1.625580963752071
ideas_down_v2,q_large,0.6,191,4.050088883483512,-1.2817720741364698,-0.297202178743842,-1.4856296944665273
ideas_down_v2,q_large,0.65,191,3.693725913151486,-0.9612361792893164,-0.23983824925627023,-1.2599231172725895
ideas_down_v2,q_large,0.7,191,3.421470510261558,-0.648727807281894,-0.16891263876223506,-0.9294056772463444
ideas_down_v2,q_large,0.75,191,3.2628894699707325,-0.3703198213477082,-0.09155515322175806,-0.5339333671301646
ideas_down_v2,q_large,0.8,191,3.220435748040126,-0.13552047316626126,-0.016386598953409638,-0.18107632508202653
ideas_down_v2,q_large,0.85,191,3.2509618129178275,0.052618281758943834,0.04806710102207838,0.06413533694375252
ideas_down_v2,q_large,0.9,191,3.209531474705755,0.19808777226060276,0.1005000717728118,0.23447604033092126
ideas_down_v2,q_small,0.0,191,8.3213606346532,-2.809737912396328,-0.32794461551494025,-1.7173619040412649
ideas_down_v2,q_small,0.05,191,8.64898372215965,-3.047532196925023,-0.34189955688522083,-1.7383659941439842
ideas_down_v2,q_small,0.1,191,9.007456824490854,-3.319936669085295,-0.357581836568437,-1.75478362815776
ideas_down_v2,q_small,0.15,191,9.609987946280258,-3.743299876301617,-0.37738701860987917,-1.7456477352329745
ideas_down_v2,q_small,0.2,191,10.517962546639705,-4.346852081247471,-0.3998366836857173,-1.7281243838537883
ideas_down_v2,q_small,0.25,191,11.697399100885244,-5.0767399360654615,-0.4199235144779064,-1.727526219463798
ideas_down_v2,q_small,0.3,191,12.991159675168449,-5.778480891560034,-0.4312261862050901,-1.7459848376760008
ideas_down_v2,q_small,0.35,191,14.172867736799276,-6.244566680355554,-0.4283018355169693,-1.7484034585095565
ideas_down_v2,q_small,0.4,191,15.082787530567977,-6.351665296402115,-0.40964448784826135,-1.694434979008711
ideas_down_v2,q_small,0.45,191,15.711651437018986,-6.142150592062581,-0.379273064463715,-1.59058146627868
ideas_down_v2,q_small,0.5,191,16.149253307337904,-5.760184273424668,-0.34405280107479497,-1.4731130475603482
ideas_down_v2,q_small,0.55,191,16.472044920494547,-5.320645323585579,-0.3088278733283376,-1.3610496984502047
ideas_down_v2,q_small,0.6,191,16.721149090445554,-4.876784696250903,-0.27549188283375,-1.2560086683602107
ideas_down_v2,q_small,0.65,191,16.913805578640147,-4.440796470594829,-0.2440011175025237,-1.150226124374193
ideas_down_v2,q_small,0.7,191,17.059854296994782,-4.019008869240241,-0.21427449572730603,-1.0394020231421486
ideas_down_v2,q_small,0.75,191,17.15300150541847,-3.591794716850988,-0.18488272787287954,-0.9165662335349233
ideas_down_v2,q_small,0.8,191,17.19823308796748,-3.14446348451146,-0.15423992962322122,-0.778942222578682
ideas_down_v2,q_small,0.85,191,17.216312366703583,-2.6861287119024766,-0.12277701295285298,-0.6371677536501459
ideas_down_v2,q_small,0.9,191,17.295239509379627,-2.2652080957128935,-0.09285874808239487,-0.5071502498041673
ideas_up_v2,q0.5_range,0.0,191,4.860661101480485,0.6329825311248202,0.13776871762777693,0.8402496325493786
ideas_up_v2,q0.5_range,0.05,191,5.484414383259366,0.7821624122477491,0.15039214207741894,0.8729704409480518
ideas_up_v2,q0.5_range,0.1,191,6.126283268433688,1.018246204104863,0.1742080252571371,0.9000369898635328
ideas_up_v2,q0.5_range,0.15,191,7.029173976533888,1.4044712098906267,0.20909061374029106,0.9189644255729776
ideas_up_v2,q0.5_range,0.2,191,8.298483095664924,1.8881543353187595,0.23888309280194506,0.9466333850691077
ideas_up_v2,q0.5_range,0.25,191,9.939420070912485,2.249037969601509,0.23920087012297347,0.9993372073583721
ideas_up_v2,q0.5_range,0.3,191,11.77269814127008,2.2544283492246944,0.2036030893291881,1.0266623357742999
ideas_up_v2,q0.5_range,0.35,191,13.466816860752356,1.93954961641424,0.15321602002101498,0.9730643978683132
