,крупная,модель крупной,остаток,мелкая,модель мелкая,средняя,модель средняя,радиус,одиночек,черешок ср,черешок CV,q*
меньше мыслей,-33.42,-35.85,2.43,-12.4,-2.07,-47.19,-30.39,-3.4,-34.01,-4.94,15.91,0.484
словарь к 25,-31.23,-33.31,2.08,50.49,59.94,-51.81,-50.44,25.22,-60.27,-2.85,22.09,0.642
поле: значение,-28.66,-31.6,2.94,-31.86,-28.34,-17.8,-3.24,-15.53,1.56,-3.98,25.54,0.354
анафора,-28.04,-25.57,-2.46,-26.77,-12.34,-23.51,-11.96,-8.14,-9.86,-4.66,5.56,0.413
чужие хапаксы,-19.61,-14.06,-5.55,12.6,8.41,-13.72,-1.74,1.43,3.53,-1.94,10.56,0.36
хапаксы одного домена,-17.83,-9.9,-7.93,15.45,8.8,-9.2,-2.09,1.62,3.06,-1.46,6.52,0.371
словарь к 60,-17.54,-17.4,-0.14,23.14,37.52,-34.51,-35.17,14.87,-40.27,-2.12,3.4,0.538
перемешивание,-12.91,-7.47,-5.44,43.8,43.07,-8.13,-3.2,17.43,1.62,-1.79,-0.55,0.369
все слова разные,-12.83,,,31.53,,6.8,20.26,,32.34,-0.38,11.94,0.277
эхо x4,-10.73,-4.19,-6.54,-62.97,-71.15,-60.5,-65.19,-35.29,-79.58,0.48,-13.53,0.643
без служебных,-7.65,-4.5,-3.15,10.82,21.27,4.58,6.38,7.37,14.16,-1.26,1.4,0.334
термин в той же обёртке,-6.25,-5.96,-0.29,-13.01,-9.21,-6.33,-10.19,-6.7,-7.54,-0.57,3.0,0.387
20 чужих хапаксов,-5.72,,,5.94,,-2.05,,,,-0.65,4.06,0.378
без синонимов,-3.66,-7.37,3.71,-8.84,-7.18,-10.34,-12.26,-5.76,-10.26,-1.34,-1.42,0.405
редкие синонимы,-0.78,3.2,-3.98,0.94,1.56,2.65,-1.68,-1.73,3.61,0.33,-3.49,0.336
эхо на четверти,-0.24,-2.25,2.01,-23.35,-24.08,-10.58,-16.0,-13.56,-15.16,-0.5,-5.94,0.426
беднее словарь,0.44,-3.3,3.74,-3.55,5.77,-7.12,-11.0,0.22,-8.61,-0.36,-0.28,0.397
маркер каждые 3,0.75,2.88,-2.13,84.82,37.96,-17.17,-15.25,15.07,-14.17,0.47,-6.09,0.483
одна тема,1.13,-6.24,7.37,0.3,14.7,-8.37,-9.34,4.34,-6.43,-0.7,3.29,0.387
ни одного слова дважды,2.38,6.6,-4.22,6.54,-6.51,10.92,6.46,-5.45,14.27,0.63,-4.52,0.295
богаче словарь,2.77,3.2,-0.43,6.79,9.21,13.26,7.88,1.8,16.13,0.25,-0.41,0.276
эхо x2,3.19,-3.37,6.56,-43.09,-42.47,-24.64,-36.73,-22.05,-42.31,-0.59,-12.69,0.497
тема вписана,3.72,3.32,0.4,4.05,2.28,6.71,1.91,-1.39,8.3,0.24,-3.03,0.337
каждое предложение о своём,10.7,9.19,1.51,23.05,7.27,26.89,20.99,0.9,33.3,0.96,-0.9,0.242
без пунктуации,14.64,11.62,3.02,21.37,26.05,11.12,-0.18,9.58,5.56,0.64,-15.72,0.365
художественный стиль,14.75,8.26,6.49,15.26,13.12,29.57,13.76,3.61,23.83,0.42,-6.2,0.266
