,черешок,CV длинного,черешок без оси,CV без оси,черешок вдоль оси,черешок поперёк оси,доля вдоль оси,черешок при |вдоль|<0.05,"доля |вдоль|<0.05, %",черешок при |вдоль|<0.1,"доля |вдоль|<0.1, %",черешок при |вдоль|<0.15,"доля |вдоль|<0.15, %",черешок при |вдоль|<0.2,"доля |вдоль|<0.2, %",черешок при |вдоль|<0.3,"доля |вдоль|<0.3, %","черешок, осмысленные","черешок, бессмысленные",крупный,мелкий,средний
анафора,-4.763720940299521,12.527510286516119,-4.5436222673331805,13.38379812019127,-9.512348348218262,-4.736547529035691,-5.295931754478854,-4.402474498212023,11.394844915208747,-4.4888592729479075,4.70766982042666,-4.759868474370138,0.9327022708424825,-4.749231062641442,0.2894410562294688,-4.763721450582029,0.0,-4.110857710621059,-4.6349596296137925,-24.35807215486785,-24.02057678300527,-22.796339682557175
беднее словарь,-0.1549645551732195,-1.712114062248308,0.007761765442957925,-2.4973247284883633,-0.5092757652478306,-0.08053340127826411,-0.5011308091993486,-0.4255289592620106,1.2186930431764305,-0.07697362504450775,-0.16671682319146217,-0.07062764446316575,-0.2649417743057818,-0.1327643326580234,-0.0685014304710507,-0.1549643337640638,0.0,0.5068572212462626,-0.6375906331168024,0.0,0.0,-6.172844833669122
без синонимов,-0.5531624750368559,1.7231151189226281,-0.41926298077525487,1.545413059330368,-1.5156353930604247,-0.5184033920698242,-0.027086950107514565,-0.454560666752407,5.00058931360634,-0.6972871955872564,0.8699292491682572,-0.6423391919918632,0.3368165138644438,-0.5417344724219517,0.06110554657960474,-0.5531629164115457,0.0,-0.9812119761024437,-1.2029518968664432,0.0,-6.456430977104646,-10.095581929474386
богаче словарь,-0.6574580481340573,0.061271441312040584,-0.6084704132780983,-0.03430874588235158,-3.865346238550435,-0.616876257411878,-2.868875673537435,-0.8771789579293449,5.1269351975055315,-0.6908116163168517,2.5649433319369375,-0.6603357500455779,0.21979577533856823,-0.6551312579037402,0.0,-0.6574579248309995,0.0,-0.20362551935191567,-0.32805315218140524,0.0,9.1939978042637,12.886571434146049
каждое предложение о своём,-0.35837216036571967,-5.9975375703870615,-0.2910413197732006,-4.849475735239012,-8.527874707638857,-0.3341001229403838,-8.714974871882493,-0.45355573740297306,5.6055161412227665,-0.37285190800506,4.579392987327506,-0.40218500867639767,1.1728559415469704,-0.36833681526358175,0.2433751754459886,-0.35837195193955657,0.0,0.9365764016757615,-0.8829641789363021,6.498626448010122,19.279853804663546,25.517478515219388
меньше мыслей,-4.86263276915841,0.9775410121441527,-5.139889740753353,2.3086895536252676,-3.885580973969291,-4.859611882755032,1.7346379640776428,-5.142617749544725,2.635843108269967,-4.605315468107388,2.664252645863305,-4.711495529768406,0.5840138274767811,-4.830217943554209,0.12093462416493445,-4.862632751595404,0.0,-4.131056766544091,-3.892026926003854,-31.381639535622735,-14.710346894732105,-47.02643201852519
ни одного слова дважды,-0.2645589177305096,-0.5336881434726078,-0.18041168629739046,-0.3285120080724736,-4.4310616602306805,-0.18237350068853098,-4.404619124132615,-0.7564855475078668,6.148329301813979,-0.45525014085359045,2.8012933391025685,-0.3274233521248511,0.8874581067057272,-0.2906569340364369,0.01772853185592656,-0.2645585057878804,0.0,0.547993593250265,-0.4335225981985952,0.0,6.188747726309645,11.167450999499383
одна тема,-0.3435520208456451,-0.04568161882660407,-0.3420042704889559,0.15598735939552386,-4.467808714916881,-0.2902529972929349,-3.5604203519036233,-0.7148006923851445,4.975053828931489,-0.2540269958803721,1.39434699626741,-0.3784821843473985,0.6784640267491765,-0.3435523567081006,0.0,-0.3435523567081006,0.0,-0.099282340722457,-0.6581205484380764,0.0,0.0,-7.298054237008676
перемешивание,-0.8711132826405451,3.1383174781218255,-0.6381494413450692,2.792596145745994,6.419481622063908,-0.886219945466807,6.133211058129066,-1.564250972354931,-5.82875341318004,-1.2902022277601848,-2.866631673020508,-1.0346284211388126,-1.022756327894787,-0.8731458293323913,-0.1814907393797706,-0.8711130844219955,0.0,0.13597789862337892,-0.7770989478020147,-10.913534178749607,36.5160236037112,0.0
поле: значение,-7.495545926300743,24.42291760683955,-7.357137741472873,23.33036703089128,-7.974226228451261,-7.465658364365795,-2.22650743417027,-7.589368998270188,9.239027892355299,-7.473913456919521,3.8499989092997384,-7.4985625585803355,1.0730671664032403,-7.476178862013935,0.22003991417272853,-7.495545863797862,0.0,-7.213839776552454,-10.144042092784694,-21.858748679171303,-25.614428265775413,-19.24170783139497
редкие синонимы,-0.3083659757707813,-4.59397457638269,-0.18692563973017023,-4.360597935046857,-3.810746781351774,-0.2697799923316684,-3.2904980304657974,-0.29764392081519286,3.2950497630825395,-0.21225043555580056,1.6739855790652278,-0.3175284393074867,0.43654608176777604,-0.25906332603383303,0.06973500697351338,-0.30836604913971544,0.0,0.0893958005125844,-0.5384731630666926,3.1733498414005137,3.180878264776755,2.130939231576103
тема вписана,-0.14242734646230354,0.07631430561684689,0.06290479553412479,0.6974264592292646,-2.534529702240617,-0.18228774538164108,-3.1509626056224103,0.03549582523250112,2.6547315194073753,0.08448600773055749,1.0730821286415824,-0.0389965018697778,0.16137809416688306,-0.11649681850737337,0.025894538606400043,-0.14242761688606698,0.0,0.8002871323770551,-0.24576935840132064,0.0,5.090671041881559,6.401518948091798
термин в той же обёртке,-0.47328600715362534,-2.301440093628024,-0.743154615487175,-2.1276226495618737,-2.1687218998761018,-0.5202125810023966,-0.3641960312170653,-0.7007935484594732,0.6561725038865953,-0.6793309096754265,0.667300885495904,-0.43930212789835094,0.07539010368742341,-0.45463226680127095,0.27972520421895664,-0.47328619509567454,0.0,-0.7152339087775121,-0.5776306047249845,-2.398106868515195,-9.702101879820749,-6.0618880732872835
художественный стиль,-0.07294711201005247,-3.3994919660280636,0.010957875088883157,-3.6114910157647047,-7.155484934643012,-0.10064023201787867,-6.9729266780975285,0.2725243772797285,6.955908679783611,-0.15842989306162017,3.0393099935612415,-0.03841011833120913,0.7869120113240006,0.004736866704762286,0.0,-0.07294729301266076,0.0,0.31279701754700245,0.1070630606027685,13.020774712366762,16.650119464268297,25.731586779835258
чужие хапаксы,-3.562311769781147,14.594628799314096,-3.324591071550256,14.690076279298594,1.821488717565351,-3.5767512887232025,2.6306753366263926,-4.158594397690263,1.9330060438950567,-3.9388967184363946,-0.49095220789902505,-3.627269235226014,-0.4057520359155833,-3.568261812899129,0.0,-3.5623118212099714,0.0,-0.2943260423755421,-4.0356599570316565,-17.201896379074565,13.029212032790904,-9.99976066544416
без пунктуации,1.507459996153288,-14.089939593400919,1.7928734203088,-13.827543931943934,6.745708909825576,1.446755754006458,5.005293375544786,1.7995352952641124,-4.216770206691261,1.7497961319433022,-3.595434682051856,1.5724801872166128,-0.5530618669643302,1.5393305147606278,-0.3062949625793208,1.5034501066500137,0.0,2.651755579695249,0.8022506311284091,9.029740740307584,19.536539885093536,10.60503663965484
без служебных,-2.206737685942555,6.603842867174553,-2.226446094032903,6.50915841808737,0.7598171511750923,-2.289632358881811,3.3914497067725287,-2.5118124775385207,-1.6264854409680989,-2.4788892270046414,-0.27764292662675694,-2.3426256441377524,-0.04000540007323503,-2.3279381119317883,0.0,-2.2067375700180447,0.0,-1.1323319061574726,-2.799559351120349,-10.49618450284792,9.333463586786378,0.0
все слова разные,-3.3410598211280425,10.834901816635934,-2.8524780739742392,11.58888873532431,-2.745142419656187,-3.3333104903133335,-1.7846608819837444,-4.508450764176166,4.710165913392707,-3.7528303362681563,1.9326301704931645,-3.3673461079460196,0.6091233335665424,-3.3971358757202017,0.0,-3.3410593520020195,0.0,-1.084440693241241,-4.11890379534414,-14.039901250845926,31.92440509596875,7.777078767185837
маркер каждые 3,2.8846279560830546,-1.8253864565024744,2.7130525431074344,-1.0364760877510784,6.033290765382706,2.807540479580009,3.306218736083302,2.5492740092464072,-6.6538272659272275,2.746918521391749,-3.5084628486049834,2.869863955046139,-0.811182710493034,2.8691296678121323,0.0,2.8846278735817865,0.0,3.2077156863953737,3.139119573297992,0.0,71.16764481381064,-17.001312435855414
словарь к 25,0.8133800258599215,20.053114114853777,0.8182966291880523,20.967471160381965,9.469851702366098,0.7258322352445952,9.104047664304549,0.27414526056723076,-7.389512523891639,0.672221761783725,-5.785076249024659,0.5897821858744245,-1.8665086494199647,0.7647026144300382,0.0,0.8133805349552982,0.0,1.8762504771498878,-0.7230881133905894,-31.20598230969861,41.20374093847416,-50.80177533905614
словарь к 60,-0.30040425645884694,3.7413523316556896,-0.22825588953373221,5.428591336674826,12.098153367871186,-0.4310058304723127,11.591824117942757,-0.27193573839425866,-10.81889624066115,-0.3468942565384947,-6.612538305091746,-0.48415255435888643,-1.3363643253261615,-0.37295383201548443,0.0,-0.30040465278329714,0.0,0.3634452317575262,-0.15439031585646354,-16.452275872174408,19.663673342030492,-34.21754275706482
хапаксы одного домена,-3.200178300024157,10.233987515791709,-2.9148547905848994,9.363903717920536,0.6261480699257953,-3.1971355467873543,2.4917213842224437,-3.557418829461302,-1.315330732085903,-3.5067116593319367,0.1322202583778732,-3.301509416209705,0.3280102888880057,-3.1712088174911917,0.0,-3.2001783754065802,0.0,-0.5857599901765886,-4.419175883018428,-17.272963114137866,11.973597896903222,-10.040452243736484
эхо x2,2.0150389754645506,-13.93870536028391,1.9655822795514386,-14.258694946458784,11.68565225727918,2.0081725769238785,7.8768212446383465,2.313130858720502,-6.809554975976642,2.3413619691408107,-5.1486696604554165,2.222388070429509,-1.6329293765896689,2.122731213513782,0.0,2.0150387948588597,0.0,2.0511055832522365,1.9162120516595624,3.562116582070976,-39.52853474978989,-24.376459468723933
эхо x4,4.812616402672394,-11.993120435368573,4.565786908407862,-12.676937705021052,14.140903465963595,4.762454415189586,8.344755197106293,4.351282277600055,-7.824718169528082,4.507524014383921,-2.9819139785054785,4.744686578360213,-1.0401755157690984,4.987088047089211,0.0,4.894916938840066,0.0,5.027454127664763,5.528283107216264,-8.022638142962816,-57.009027579832065,-59.72038799890248
эхо на четверти,0.0976720495956289,-2.803836171472056,0.0806858412434502,-3.9684257184779734,4.213572797849492,0.08529733508917786,2.7119295536502106,0.06015756040189766,-7.430237162712422,0.20927052314767491,-2.244334174527478,0.18377558076889777,-0.5241720454956631,0.12595395943794946,-0.010041504886865468,0.09767172877890684,0.0,0.36142861394917947,0.8789685455783812,0.0,-19.080500218263357,-9.890978109085454
