perturbation,C,F
add_digits,-3.7,5.4
add_punctuation,-6.9,34.4
add_typos,5.7,6.0
burst_alternate,0.5,7.5
burst_flatten,-0.0,8.5
capitalize_terms,12.5,6.4
drop_function_words,11.1,8.8
drop_sentence_boundaries,6.2,11.3
loop_phrase,-74.0,26.1
lowercase,-1.3,4.5
shuffle_within_sentences,2.8,42.8
shuffle_words,2.1,43.2
strip_digits,-0.4,2.3
strip_punctuation,12.4,18.3
style_bulletin_abbreviations,7.1,6.5
style_dialogue_interjections,-17.6,-5.5
style_literary,28.4,14.0
style_news_dates_suffixes,12.7,9.8
style_news_telegraphic,1.2,-0.2
style_scientific_terms,10.1,-1.6
style_simplified,-19.0,0.4
to_numbered_list,-2.1,-5.5
