feature,PC1,p_PC1,PC2,p_PC2,PC3,p_PC3,PC2|PC1,p_PC2|PC1,PC3|PC1,p_PC3|PC1
ttr,0.8882836796465684,2.2304051961563297e-13,-0.09217814059985786,0.5873978882336021,0.12282499662403741,0.468929759546754,-0.21929824561403508,0.19220075173905313,0.6173541963015647,4.697937737704922e-05
hapax,0.8975490082120182,5.288910784014158e-14,-0.0757856362148316,0.6557374408645503,0.09906774389211527,0.5596505075670661,-0.23731626363205308,0.15727690453717855,0.5547652916073968,0.00036623058071071193
top1_share,-0.7485910335828664,9.942132110038591e-08,0.008790183510811189,0.9588200506092243,-0.1349411955173177,0.4258606775808755,0.13489805595068752,0.4260099927780994,-0.4113323850165955,0.011431340299787556
top10_share,-0.8212882269425481,4.743687889364687e-10,0.07673592632410849,0.6516923155779746,-0.136366630681233,0.42094339758708804,0.2629208155523945,0.11590476223620709,-0.4343290659080132,0.007231099272624465
word_entropy,0.8647639994419656,5.200718325675885e-12,-0.07721107137874691,0.6496734142647586,0.14705739441059798,0.3850938062315822,-0.20341394025604548,0.22723012353699212,0.6180654338549074,4.577920641890702e-05
zipf_slope,0.7127175819576639,7.465433648867284e-07,-0.3147835986979682,0.05774989299591165,0.21571585480585295,0.19974743895352823,-0.3691322901849218,0.024554274944383857,0.5886676149834044,0.00012689419361169518
content_ratio,0.29126391849336536,0.08028652267010415,-0.24042339764705195,0.15175315640856726,0.49913987989768394,0.0016618153135509112,-0.22735893788525366,0.1759584460391264,0.5730203888098624,0.0002099616380368486
content_ttr,0.8754547631713304,1.3447766941332639e-12,-0.14491924166472497,0.3921170259451641,-0.03777403184375618,0.8243424939460852,-0.27430061640587955,0.10039894816948036,0.18824087245139873,0.26453561345280235
bigram_repeat,-0.8901842598651222,1.6778465396097771e-13,-0.06058099446640144,0.7217062264186529,0.0035635879097883193,0.983299497224294,-0.051683262209578,0.7612879781800549,-0.38098624940730197,0.01999624062342216
trigram_repeat,-0.8650015719692848,5.053094154163288e-12,-0.14064293617297902,0.4063843056978039,0.07317233841432016,0.6669111504289784,-0.2904220009483167,0.0812044409241434,-0.08653390232337599,0.6105727907545389
mean_word_len,0.09669201861892307,0.5691496184183389,-0.34923161515925527,0.03412439981426133,0.32024776682631034,0.05331436535850323,-0.3565670934091987,0.030293138355922174,0.317923186344239,0.055166861735772586
long_word_rate,0.05036537579167492,0.7672045333977842,-0.35398306570563975,0.03160026284900868,0.291976636075323,0.07951578498570773,-0.3568041725936462,0.030175470775482004,0.3044096728307254,0.06697444786150213
mean_sent_len,-0.2539588939710431,0.12933201302215813,-0.20710519797918786,0.2187266348672611,-0.06464623877357238,0.7038495084130832,-0.20886676149834044,0.21474661644627058,-0.09364627785680416,0.5814342814694777
sd_sent_len,-0.45564131720399137,0.005948265476944367,-0.06306939179999882,0.7188984498964348,0.21976179187199588,0.2046245361485966,-0.08487394957983195,0.6278454217817011,0.14173669467787117,0.41668549206086075
sent_len_burst,-0.31100217867599417,0.06898976084154905,-0.11829014817599778,0.49854505602844906,0.2758234734719948,0.1087540869568224,-0.10364145658263306,0.5535276714987675,0.23221288515406163,0.179488658492825
n_sents_per_100w,-0.11992173834877373,0.4795811485270154,0.28871366087133066,0.08309200881261641,0.46818110906291777,0.003474811667858598,0.28141299193930774,0.09154411853242675,0.47083926031294454,0.0032701609082526144
subordinator_rate,-0.40553630413391073,0.012768966945631089,0.05107809337363258,0.7640032046516384,-0.25277716906765146,0.13118531207132353,0.12138454243717402,0.47419874257594985,-0.36984352773826457,0.024258446315120686
function_rate,-0.29126391849336536,0.08028652267010415,0.24042339764705195,0.15175315640856726,-0.49913987989768394,0.0016618153135509112,0.22735893788525366,0.1759584460391264,-0.5730203888098624,0.0002099616380368486
connective_rate,0.19087585194380619,0.25778374368702767,-0.25271390884694933,0.13128507539259543,-0.037293471696885974,0.8265429756757146,-0.24016121384542433,0.15221372336474434,-0.012091038406827879,0.9433777791225774
hedge_rate,0.302228232160112,0.06905424114462307,-0.15859854164062484,0.34847145742712904,-0.17237938870452932,0.30762563890998695,-0.17164532954006637,0.30972157580440685,-0.12802275960170695,0.4501773390489374
pron12_rate,-0.05036537579167492,0.7672045333977842,0.28793790311089623,0.08396029641226073,-0.062006429630316766,0.7154278616574146,0.2937411095305832,0.07763241567969051,-0.0825035561877667,0.6273544439580108
comma_rate,-0.09909909909909909,0.5595256302771996,0.15410146989094353,0.36248187563581236,-0.06851588430535797,0.6869956748300301,0.15931721194879087,0.3462633961071136,-0.08582266477003318,0.6135203977876821
punct_rate,-0.2038880986249407,0.22612537829145618,0.3755334281650071,0.021996519544988626,0.11522048364153627,0.49709308642677535,0.38549075391180654,0.01846050182422566,0.09506875296348978,0.5756821288648387
quote_rate,-0.12117619501246933,0.4749634152311869,0.1515295276183325,0.3706440602603651,0.08015176891235741,0.6372334674349748,0.15836889521100045,0.34917882906570546,0.0694642010431484,0.6828876115631746
paren_rate,-0.018967458986552787,0.911279740727735,-0.08345681954083224,0.6233681238434412,0.3021753309795191,0.06910530012106944,-0.08297771455666192,0.6253703169927365,0.3195827406353722,0.0538391870170032
dash_rate,0.18824087245139873,0.26453561345280235,0.010905642484589853,0.9489213234046308,0.07373162636320531,0.6645137430315113,0.000948316737790422,0.9955554922309119,0.1171171171171171,0.48998927416209787
digit_rate,-0.10149395590085494,0.5500261383875954,0.08465734172104022,0.6183628118084474,0.17714015200452954,0.29425091875946413,0.07894736842105263,0.6423168409731391,0.19511616880037932,0.24716030683096815
upper_rate,0.0023707918444760548,0.988889019100974,0.02726410621147463,0.8727403754258691,0.4604077761972499,0.004138517686607615,0.02726410621147463,0.8727403754258691,0.47629208155523933,0.0028829461707662223
linebreak_per_100w,0.1743752041324241,0.30197255610766827,-0.17411298578034526,0.30271148336609777,-0.05611472734487031,0.7414927189160954,-0.22735893788525366,0.1759584460391264,0.009009009009009009,0.9577958082789393
bullet_rate,0.2393498457708657,0.15364546460385273,-0.030971893776001964,0.8556047074834238,-0.07381041351982078,0.6641762820633312,-0.022759601706970126,0.8936344541040987,-0.07942152678994784,0.6403136467624263
md_heading_rate,0.20412252840739542,0.22558053495926184,-0.09168097180345813,0.5894235168661548,-0.4801407733050407,0.0026343190535959814,0.07230915125651967,0.6706176181740883,-0.557610241820768,0.00033652431076409587
question_rate,-0.1549137391528175,0.3599266477748741,-0.041634550109218176,0.8067144492753128,-0.08860686305295151,0.6020162579288585,-0.058321479374110946,0.7316950120593788,-0.11332385016595542,0.5042490070080357
exclaim_rate,0.10881469399907032,0.5214680719467726,0.19244520117739516,0.25381724876260114,-0.16417238767108647,0.33157040114340974,0.206733048838312,0.21957389666513238,-0.1692745376955903,0.31655227622137305
mean_log_rank,0.2442245580841595,0.14518942282386976,-0.23377136688211375,0.16375518706685638,0.6255284644315097,3.475881374642509e-05,-0.25699383594120434,0.1246614886035363,0.6469890943575154,1.5108642099372082e-05
rare_word_rate,0.37037557009066596,0.02403908773912495,-0.2900760558567692,0.08158396739347237,0.3991218458962918,0.014401371025915525,-0.2968231389284021,0.07442625153189181,0.47889995258416307,0.0027123467311299756
bigram_oov,0.028508703278306555,0.8669816607369832,0.17627881527086223,0.296642661231065,0.04418849008137516,0.7951033846536658,0.17093409198672352,0.3117609341282242,0.06116642958748221,0.7191254653312217
