признак,ключ,сдвиг,полоса,n,медиана,среднее,кв25,кв75,одна сторона,перевес
уместность слов,integration,-6,крупный,152,-16.66,-15.45,-24.56,-7.68,0.89,вниз
уместность слов,integration,-6,мелкий,152,20.76,23.3,11.72,33.72,0.94,вверх
уместность слов,integration,-6,средний,152,-4.75,-1.52,-13.95,10.6,0.61,вниз
уместность слов,integration,-5,крупный,154,-16.33,-16.06,-26.39,-7.49,0.86,вниз
уместность слов,integration,-5,мелкий,154,11.22,9.2,1.12,22.9,0.78,вверх
уместность слов,integration,-5,средний,154,-9.54,-14.36,-23.01,-0.61,0.77,вниз
уместность слов,integration,-4,крупный,50,-21.1,-24.21,-43.84,-8.82,0.88,вниз
уместность слов,integration,-4,мелкий,50,-26.68,-23.21,-51.48,2.32,0.72,вниз
уместность слов,integration,-4,средний,50,-48.42,-36.2,-65.72,-5.4,0.8,вниз
уместность слов,integration,-3,крупный,66,-5.2,-12.35,-22.72,2.95,0.68,вниз
уместность слов,integration,-3,мелкий,66,-9.32,-11.02,-27.51,1.69,0.74,вниз
уместность слов,integration,-3,средний,66,-4.86,-19.2,-45.28,4.8,0.65,вниз
уместность слов,integration,-2,крупный,71,-2.6,-7.16,-14.8,5.12,0.59,вниз
уместность слов,integration,-2,мелкий,71,0.07,-2.75,-19.31,10.82,0.52,вверх
уместность слов,integration,-2,средний,71,-3.28,-11.21,-15.58,9.04,0.56,вниз
уместность слов,integration,-1,крупный,131,-4.6,-5.19,-13.34,4.48,0.63,вниз
уместность слов,integration,-1,мелкий,131,-1.16,-3.33,-13.3,6.9,0.55,вниз
уместность слов,integration,-1,средний,131,-3.78,-6.12,-16.76,3.66,0.65,вниз
уместность слов,integration,0,крупный,451,-0.35,-0.45,-8.85,7.07,0.51,вниз
уместность слов,integration,0,мелкий,451,2.07,1.5,-6.84,9.77,0.58,вверх
уместность слов,integration,0,средний,451,0.33,1.1,-7.35,9.45,0.51,вверх
уместность слов,integration,1,крупный,62,6.41,9.93,-3.7,20.28,0.65,вверх
уместность слов,integration,1,мелкий,62,3.51,4.97,-7.26,14.9,0.61,вверх
уместность слов,integration,1,средний,62,9.76,12.89,0.19,22.13,0.74,вверх
связность изложения,coherence,-6,крупный,58,-17.78,-16.18,-27.28,-6.2,0.84,вниз
связность изложения,coherence,-6,мелкий,58,20.2,18.13,9.31,32.96,0.83,вверх
связность изложения,coherence,-6,средний,58,1.88,-0.95,-10.63,15.1,0.52,вверх
связность изложения,coherence,-5,крупный,100,-23.75,-24.85,-36.36,-11.87,0.93,вниз
связность изложения,coherence,-5,мелкий,100,12.74,4.41,-13.64,25.64,0.65,вверх
связность изложения,coherence,-5,средний,100,-14.34,-23.92,-58.46,-3.35,0.79,вниз
связность изложения,coherence,-4,крупный,116,-17.13,-17.88,-26.7,-6.44,0.89,вниз
связность изложения,coherence,-4,мелкий,116,10.04,6.4,-2.4,23.21,0.72,вверх
связность изложения,coherence,-4,средний,116,-9.54,-16.06,-29.07,0.24,0.72,вниз
связность изложения,coherence,-3,крупный,93,-15.22,-16.98,-27.38,-3.38,0.82,вниз
связность изложения,coherence,-3,мелкий,93,3.13,-2.04,-16.26,14.72,0.56,вверх
связность изложения,coherence,-3,средний,93,-10.54,-20.7,-33.09,-0.95,0.78,вниз
связность изложения,coherence,-2,крупный,84,-5.62,-5.61,-16.02,4.82,0.6,вниз
связность изложения,coherence,-2,мелкий,84,4.52,0.15,-17.21,15.66,0.56,вверх
связность изложения,coherence,-2,средний,84,-7.91,-9.77,-17.27,1.16,0.69,вниз
связность изложения,coherence,-1,крупный,138,-1.17,-1.56,-9.45,5.36,0.57,вниз
связность изложения,coherence,-1,мелкий,138,0.33,-0.68,-9.24,9.6,0.51,вверх
связность изложения,coherence,-1,средний,138,-0.76,-0.22,-11.2,8.29,0.54,вниз
связность изложения,coherence,0,крупный,402,-0.16,0.63,-8.62,9.64,0.5,вниз
связность изложения,coherence,0,мелкий,402,2.09,1.66,-7.09,10.04,0.56,вверх
связность изложения,coherence,0,средний,402,0.02,1.8,-7.37,11.96,0.5,вверх
связность изложения,coherence,1,крупный,114,-2.35,-1.43,-9.48,5.83,0.57,вниз
связность изложения,coherence,1,мелкий,114,3.38,2.88,-6.36,10.06,0.62,вверх
