,было,перемешано,"сдвиг, %",p
"стоков, %",2.2488,2.2736,1.1062,0.9662
масштаб,32.4934,30.8041,-5.1989,0.0
типов k>=2,31.1,31.77,2.1543,0.1814
до бл. при k=1,0.7338,0.7262,-1.0255,0.0003
до бл. при k=2,0.4537,0.5229,15.2519,0.0
до бл. при k>=3,0.3904,0.4473,14.5896,0.0
смысловые: радиус,0.2318,0.2708,16.8001,0.0
смысловые: центры,0.8643,0.821,-5.0025,0.0
смысловые: зазор,1.6436,1.3441,-18.2223,0.0
служебные: радиус,0.2792,0.3063,9.7067,0.0
служебные: центры,0.811,0.8479,4.5506,0.0
служебные: зазор,1.2637,1.2074,-4.4546,0.0
пунктуация: радиус,0.2566,0.2712,5.6918,0.0263
пунктуация: центры,0.8709,0.9003,3.3714,0.0061
пунктуация: зазор,1.4946,1.4877,-0.4592,0.8698
подслова: радиус,0.213,0.234,9.8765,
подслова: центры,0.9277,0.8579,-7.5327,
подслова: зазор,2.0429,1.6596,-18.7649,
