текст,seed,токенов,стоков,"доля стоков, %",со стоками: крупный,со стоками: мелкий,со стоками: средний,без стоков: крупный,без стоков: мелкий,без стоков: средний
0,0,425,8,1.8823529411764703,17.975893907491084,2.8274521918088067,12.649618075072961,19.10438762226093,3.2354224416739896,12.751562454679288
0,1,425,8,1.8823529411764703,17.945157675068575,2.922328165008074,12.478576965712506,19.05548910395708,3.1382679485319214,13.145910568505858
0,2,425,8,1.8823529411764703,17.870264921930556,2.898743432225826,12.841493757731996,18.622873402271047,3.1189236361391943,12.57354256731151
0,3,425,8,1.8823529411764703,19.873230342186094,2.86255882126554,13.204601836055579,19.831892516749445,2.9960859678027774,13.357886669545305
0,4,425,8,1.8823529411764703,18.16941962461994,3.021926134752722,12.464986767183323,19.093903287220893,3.2432129803735714,12.774111890118629
0,5,425,8,1.8823529411764703,18.4514852240501,2.997024268204045,12.967389283014185,19.40720753314075,2.7509875843176443,12.238775849081746
1,0,328,8,2.4390243902439024,16.8426994613081,3.557326456398705,15.647889550495643,17.79541166471699,3.981811572420606,15.274185415153564
1,1,328,8,2.4390243902439024,16.476300078533928,3.3189803744867272,14.809512057469405,19.04343386151636,4.076759885763528,16.086590575818494
1,2,328,8,2.4390243902439024,17.329746521323937,3.565264557937422,15.319313491071114,19.178313975359057,4.114906524500285,16.105363402617122
1,3,328,8,2.4390243902439024,15.988298384809415,3.4638625698336654,14.975995749347717,17.84619774842288,3.8574083146843017,15.285462293779792
1,4,328,8,2.4390243902439024,16.65779735301211,3.5410794083075614,14.889488839228012,19.366154826349252,3.705698678136127,15.831589505183672
1,5,328,8,2.4390243902439024,16.852593415915642,3.996010543458175,15.896058422936983,18.38463963960392,3.6253283466893156,15.385013146223372
2,0,525,10,1.9047619047619049,17.384110694509836,2.775888734222047,11.690729775395926,17.587977383553213,2.998589021489259,12.829151713300257
2,1,525,10,1.9047619047619049,16.91520719009123,2.6915447034812097,12.714480128365935,18.38964619742245,2.853876901384837,12.736039293918026
2,2,525,10,1.9047619047619049,18.727178736274723,2.665611654465334,12.53191686659674,18.8581425413519,3.038174150794819,12.7664167014873
2,3,525,10,1.9047619047619049,17.5498234537875,2.840188688377869,12.274681223889568,19.42801299922748,3.020775466867802,13.088453887362911
2,4,525,10,1.9047619047619049,15.259969901265492,2.831000733943616,11.062882495823255,18.578343066507916,3.292570767112886,12.886027527877527
2,5,525,10,1.9047619047619049,18.491320391855155,2.630197229345088,12.750311933689677,16.63394395549715,2.967790536206176,11.60246403915184
3,0,518,10,1.9305019305019304,15.944993759414546,3.766818303008519,14.902520481172852,18.331805128839076,4.371571410213645,14.970581347725371
3,1,518,10,1.9305019305019304,16.58161378126999,3.695561955571734,14.731263099894534,18.829495982157955,4.446164352682632,15.498291320206823
3,2,518,10,1.9305019305019304,16.363471598879258,3.828691517895589,15.236308482326558,18.2432770501594,4.048518796617249,15.746757348802896
3,3,518,10,1.9305019305019304,18.223902600677576,3.612701132426193,16.230851450426012,20.71937625961153,4.2890651065061265,17.21357328299417
3,4,518,10,1.9305019305019304,15.273085489261307,3.751640148462534,14.536203006782412,20.710704103209878,4.606665953706219,16.16180834816977
3,5,518,10,1.9305019305019304,17.643991422771414,3.7955598615823143,16.159296520560634,19.359995861573264,4.692561012880303,16.81463674034476
4,0,350,10,2.857142857142857,16.768114139840442,2.92756661752296,15.204157057531699,18.54415170476959,3.3420370595598317,15.757485614479346
4,1,350,10,2.857142857142857,15.444103872475548,2.9566552626904974,14.638307315658817,18.70311179908269,3.3980607131940608,15.785936226645424
4,2,350,10,2.857142857142857,15.249088930093954,2.8453781858532183,14.114877600371804,18.046208861867072,3.218799441364383,15.266243333411126
4,3,350,10,2.857142857142857,15.009579809650335,3.091807956394295,14.282006632915946,18.764982255003265,3.2585686224929553,16.022015072036787
4,4,350,10,2.857142857142857,14.879620398791,2.614038512135561,14.227292984605015,18.58249909632893,3.541715570398216,15.990967914288296
4,5,350,10,2.857142857142857,15.88470265123075,2.7258220926286656,14.265599446712027,18.982256084161353,3.4638370569781354,16.118074489586697
5,0,398,9,2.261306532663317,16.979414727459023,3.0570245433846504,14.045195889927095,17.82346363130629,3.4441083580138874,14.270541755278657
5,1,398,9,2.261306532663317,17.325882244612618,3.2603448082751214,14.618317887311571,19.084956651444667,3.5936482066082043,15.65949679318489
5,2,398,9,2.261306532663317,19.36878010218842,3.404775589289847,16.182267999112636,19.346480589455524,3.644159396162548,15.609294427325063
5,3,398,9,2.261306532663317,16.970652595438175,3.1714132621442226,14.25325656712107,19.165528194725628,3.7264405861802063,14.706157550284308
5,4,398,9,2.261306532663317,17.671891173094764,3.127192291782369,14.28345408214364,19.276862484210504,3.803579320510731,14.906554022926434
5,5,398,9,2.261306532663317,17.85437193820785,3.4279817352743733,14.588167788216953,18.57012209450789,3.987469742541819,15.367108985071663
6,0,738,14,1.8970189701897018,18.188337431643774,4.553733748328306,15.434080971460407,19.94505869574222,4.641664770703401,16.244388288857955
6,1,738,14,1.8970189701897018,19.315961104167044,4.184596656466381,15.575088724003995,20.399339191781532,4.904928361901449,16.33802336302779
6,2,738,14,1.8970189701897018,16.076000313522744,4.106483661000741,14.441903476818378,18.40374766051814,4.728854880480843,15.522889614887026
6,3,738,14,1.8970189701897018,18.06373569169432,3.908476888815709,15.970335871849977,19.44410925310983,4.503063958633283,15.771151397214584
6,4,738,14,1.8970189701897018,19.476977958584754,3.5628134444947355,15.898489354871367,20.00757979166927,4.3774886959161305,17.47854844268138
6,5,738,14,1.8970189701897018,17.058934862455075,3.808508554911522,15.77573231188064,18.583620914407174,4.76068000507511,16.006670419182335
7,0,366,10,2.73224043715847,16.874592849523633,3.893009710973029,15.582969097518188,20.19255338621022,4.699614041321889,16.782913072158475
7,1,366,10,2.73224043715847,17.872653233789777,3.854703525396215,16.375968904099796,21.857619877279557,4.30139572285201,16.923781355134896
7,2,366,10,2.73224043715847,17.465276259030677,4.170324699586841,16.30320674928314,23.24910982168732,4.553677645337844,18.596161986154613
7,3,366,10,2.73224043715847,17.55835032177391,3.7939405827174717,16.316154133849018,22.189557288655173,4.737104350073211,17.657973238585118
7,4,366,10,2.73224043715847,16.680620866894515,4.173490253665612,15.772875378856122,22.304811370020715,4.4255211685321125,17.796573171180725
7,5,366,10,2.73224043715847,17.940357441545974,4.085993168961851,16.39522190382376,22.528353883828018,4.488415458380877,17.787826636082382
8,0,359,6,1.6713091922005572,13.659146346325505,2.8939450119209575,11.9040957221863,15.705044361470092,2.8941307788225985,12.87317449397852
8,1,359,6,1.6713091922005572,14.833306400539897,2.847056530979195,12.336554762315373,16.62535857127099,2.8582147029317864,12.91703785788331
8,2,359,6,1.6713091922005572,16.932242517864793,2.8703738254686613,13.83896751222214,15.702646521433435,2.908409339880926,13.028468368781244
8,3,359,6,1.6713091922005572,15.598072281488,2.7751075180882654,13.016453476574167,18.50254494958036,3.054173501253623,13.781413280096064
8,4,359,6,1.6713091922005572,15.074253325506058,2.8946676229489094,13.035610397577695,15.8286445931696,3.014338869162625,13.014579652325986
8,5,359,6,1.6713091922005572,17.06985002425538,2.848118033972933,13.093871129121322,16.88347754825573,2.949407251954323,13.117767557802765
9,0,506,12,2.371541501976284,16.53929169300141,4.093548110448947,10.83653022097379,19.45582789467102,4.598364215669599,11.49158266067722
9,1,506,12,2.371541501976284,16.467773759614076,3.458287201086024,10.733422274858256,20.192130380657602,4.8337819306658,11.325295209043649
9,2,506,12,2.371541501976284,17.093332845020296,3.8938629573500685,10.563971402604675,16.626822268564588,4.709035457237922,9.981130514697204
