perturbation,bush_radius,pos_spread,rep_share
syntax/burst_1to4,0.0025,-0.0015,0.0029
syntax/no_sent_bounds,0.016,0.0084,-0.0088
loop/phrase12w_x4,-0.1838,-0.1073,0.2176
surface/punct_add,0.0135,-0.0179,0.037
surface/punct_strip,0.0415,0.0163,-0.0229
surface/digits_add,-0.0085,-0.0019,-0.0018
surface/caps_terms,0.0047,0.0071,-0.05
surface/lowercase,0.0057,-0.001,0.0192
surface/numbered_list,-0.0045,-0.0054,0.0013
syntax/drop_funcwords,0.0208,0.0264,-0.0738
shuffle/words,0.055,0.0269,0.0032
surface/typos,0.0099,0.003,-0.0275
style/telegraphic,0.0016,0.0095,-0.0384
style/simplified,-0.0152,-0.0314,0.0824
style/news_dates,0.0144,0.0161,-0.0673
style/dialogue_interj,-0.0075,-0.0065,0.0549
style/literary,0.0252,0.0192,-0.1233
style/bulletin_abbrev,-0.0113,0.0069,-0.0762
style/scientific_terms,-0.0134,0.0097,-0.0213
deplete/ideas_down,-0.0612,0.0538,0.1378
enrich/lexdiv_up,0.0058,0.0216,-0.1064
deplete/lexdiv_down,-0.0049,-0.0063,0.0332
rarity/rare_words,-0.0034,0.0089,-0.0175
rarity/common_words,0.0044,0.002,0.0272
loop/echo6w_x2,-0.1036,-0.096,0.3262
loop/echo6w_x4,-0.1529,-0.1202,0.3288
loop/tail_keep60_unit1w,-0.0609,-0.0926,0.0924
loop/tail_keep60_unit3w,-0.096,-0.0934,0.0971
loop/tail_keep40_unit3w,-0.1086,-0.1244,0.1495
loop/tail_keep20_unit3w,-0.1425,-0.1406,0.2192
loop/tail_keep40_unit3w_drift,-0.0461,-0.0566,0.2034
vocab/top60,0.0271,-0.02,0.1924
vocab/top25,0.0317,-0.0446,0.2433
vocab/top10,0.0421,-0.067,0.2482
ngram/n2,0.056,0.0172,-0.2355
ngram/n4,0.0302,-0.0163,-0.1412
vocab/expand100,0.0493,-0.018,-0.2321
vocab/expand50,0.0329,-0.005,-0.1506
enrich/topics_up_hard,0.0421,0.0682,-0.2893
