perturbation,bush_radius,pos_spread,rep_share,PC1,PC2,PC3,d_fine,d_coarse
syntax/burst_1to4,0.002,-0.001,0.003,10.3,4.2,-18.5,7.174,4.172
syntax/no_sent_bounds,0.016,0.008,-0.009,47.3,19.0,-8.6,10.704,0.216
loop/phrase12w_x4,-0.184,-0.107,0.218,-423.4,205.2,8.8,28.249,-49.753
surface/punct_add,0.014,-0.018,0.037,-1.3,64.7,-55.4,38.961,-0.45
surface/punct_strip,0.041,0.016,-0.023,90.0,30.3,-12.4,17.947,2.034
surface/digits_add,-0.008,-0.002,-0.002,-6.4,49.8,28.1,4.061,-21.156
surface/caps_terms,0.005,0.007,-0.05,72.5,6.1,3.2,4.45,2.861
surface/lowercase,0.006,-0.001,0.019,-2.5,3.2,-12.4,4.038,2.441
surface/numbered_list,-0.005,-0.005,0.001,-17.2,-1.4,13.4,-5.435,-4.476
syntax/drop_funcwords,0.021,0.026,-0.074,76.9,48.4,33.8,6.431,-12.879
shuffle/words,0.055,0.027,0.003,68.1,116.1,-24.2,43.023,-14.407
surface/typos,0.01,0.003,-0.027,37.8,13.8,2.2,4.781,-1.314
style/telegraphic,0.002,0.009,-0.038,14.9,36.1,37.7,-3.874,-15.315
style/simplified,-0.015,-0.031,0.082,-101.5,25.0,-1.3,0.551,-12.769
style/news_dates,0.014,0.016,-0.067,77.6,10.8,-1.6,7.77,3.609
style/dialogue_interj,-0.008,-0.007,0.055,-97.1,36.4,29.3,-4.613,-22.414
style/literary,0.025,0.019,-0.123,164.0,-1.0,-2.4,10.075,9.45
style/bulletin_abbrev,-0.011,0.007,-0.076,55.7,53.6,40.4,3.084,-15.634
style/scientific_terms,-0.013,0.01,-0.021,48.5,-10.4,10.4,-3.738,3.895
deplete/ideas_down,-0.061,0.054,0.138,-230.2,60.4,15.1,-3.347,-21.437
enrich/lexdiv_up,0.006,0.022,-0.106,126.6,4.8,17.9,3.741,3.193
deplete/lexdiv_down,-0.005,-0.006,0.033,-45.9,-0.7,-13.8,1.164,2.49
rarity/rare_words,-0.003,0.009,-0.017,30.5,-2.9,-0.6,0.829,3.596
rarity/common_words,0.004,0.002,0.027,-10.9,10.5,0.0,2.269,-2.863
loop/echo6w_x2,-0.104,-0.096,0.326,-188.8,-63.0,14.3,-36.168,6.16
loop/echo6w_x4,-0.153,-0.12,0.329,-372.9,-66.2,30.5,-57.654,8.894
loop/tail_keep60_unit1w,-0.061,-0.093,0.092,-266.8,-46.5,49.4,-46.579,-9.37
loop/tail_keep60_unit3w,-0.096,-0.093,0.097,-320.8,-17.9,64.7,-48.799,-23.665
loop/tail_keep40_unit3w,-0.109,-0.124,0.15,-404.5,31.7,51.0,-34.335,-20.563
loop/tail_keep20_unit3w,-0.142,-0.141,0.219,-436.9,123.1,45.2,-11.853,-36.534
loop/tail_keep40_unit3w_drift,-0.046,-0.057,0.203,-341.9,-2.0,87.2,-53.702,-29.41
vocab/top60,0.027,-0.02,0.192,-137.6,123.3,-35.4,40.733,-16.925
vocab/top25,0.032,-0.045,0.243,-159.7,219.6,-49.6,70.521,-26.906
vocab/top10,0.042,-0.067,0.248,-135.1,283.3,-50.8,85.404,-32.607
ngram/n2,0.056,0.017,-0.236,265.9,67.8,44.2,19.942,-8.617
ngram/n4,0.03,-0.016,-0.141,191.4,19.6,22.3,10.468,1.613
vocab/expand100,0.049,-0.018,-0.232,178.5,105.6,48.2,21.561,-20.402
vocab/expand50,0.033,-0.005,-0.151,108.9,79.3,35.4,15.24,-18.872
enrich/topics_up_hard,0.042,0.068,-0.289,219.8,1.8,26.3,7.675,7.715
