,"бессмысленных, %","бессм. среди одиночек, %","бессм. среди повторных, %","бессм. среди смысловых, %","осмысленных одиночек, шт","осмысленных типов, шт","бессмысленных типов, шт",крупный,мелкий,средний
анафора,-1.2777487675222918,-1.2821099023653035,-1.4413446416361009,-1.4372740164485074,-7.666666666666664,-12.333333333333336,-2.1666666666666665,-24.35807215486785,-24.02057678300527,-22.796339682557175
беднее словарь,-0.8877625202315292,-0.2227435524187058,-0.9535908641179245,-1.1840402162808168,-3.0,-3.6666666666666714,-1.6666666666666665,0.0,0.0,-6.172844833669122
без синонимов,0.2556560730884068,1.2417027753348209,-0.2905093106136205,0.4897790406717838,-6.166666666666664,-6.666666666666671,0.3333333333333326,0.0,-6.456430977104646,-10.095581929474386
богаче словарь,3.2511013092625536,5.676081149937992,1.8898628913983955,6.836290071584189,-8.666666666666664,-13.5,3.3333333333333344,0.0,9.1939978042637,12.886571434146049
каждое предложение о своём,1.7271014184669307,2.2532182589184044,-0.3394404044475392,2.765486021299978,-2.3333333333333357,-12.666666666666657,0.33333333333333326,6.498626448010122,19.279853804663546,25.517478515219388
меньше мыслей,-2.0551952187971247,-2.6934039358603004,-2.0036052499238575,-1.9327731092436975,-27.66666666666667,-29.33333333333333,-3.666666666666667,-31.381639535622735,-14.710346894732105,-47.02643201852519
ни одного слова дважды,3.5613358313192167,4.857448071952448,1.4789573540261491,6.469757350474488,-7.333333333333336,-10.666666666666671,3.0,0.0,6.188747726309645,11.167450999499383
одна тема,-0.7747502215681323,-1.2727272727272727,-1.2567725067725064,-1.153479644045678,-6.333333333333336,-7.333333333333329,-2.333333333333333,0.0,0.0,-7.298054237008676
перемешивание,91.02087470885147,89.45752758000944,91.95056502287233,92.69265959483351,-54.83333333333333,-85.5,78.83333333333334,-10.913534178749607,36.5160236037112,0.0
поле: значение,0.2554676916663486,2.1348400592354544,-1.2192340631940262,4.19755532276084,-19.5,-27.833333333333332,-1.8333333333333326,-21.858748679171303,-25.614428265775413,-19.24170783139497
редкие синонимы,6.869528668258358,10.904210667951439,4.6717321908699825,13.570989119161876,-18.666666666666668,-24.0,6.666666666666671,3.1733498414005137,3.180878264776755,2.130939231576103
тема вписана,-0.25041049783733077,0.5373901958110094,-0.04357913331395591,1.288287005157641,2.833333333333332,1.3333333333333357,0.0,0.0,5.090671041881559,6.401518948091798
термин в той же обёртке,-0.1670312488632828,0.21858676536210173,-0.14683723795656345,-0.4057688583467791,-5.166666666666668,-5.0,-0.3333333333333328,-2.398106868515195,-9.702101879820749,-6.0618880732872835
художественный стиль,5.677813398792862,6.370671734995548,3.699928044303579,7.5869071186328245,-8.999999999999996,-15.16666666666666,5.0,13.020774712366762,16.650119464268297,25.731586779835258
чужие хапаксы,64.83153434837402,70.24189791920973,62.26830366900823,69.85012919896641,-45.66666666666667,-61.83333333333333,63.833333333333336,-17.201896379074565,13.029212032790904,-9.99976066544416
без пунктуации,60.70199662823073,63.274555003766196,56.31867636871327,59.31591929638712,-42.833333333333336,-54.5,63.666666666666664,9.029740740307584,19.536539885093536,10.60503663965484
без служебных,41.73387237752851,49.95855216958489,35.413022305554364,51.40430547149431,-29.833333333333336,-40.0,49.0,-10.49618450284792,9.333463586786378,0.0
все слова разные,83.72549712025796,86.14494516239981,78.94916463861443,91.16256519171019,-51.66666666666667,-81.0,85.16666666666666,-14.039901250845926,31.92440509596875,7.777078767185837
маркер каждые 3,35.01520057530312,56.594927114032814,26.385247413681782,22.960648888219087,-37.833333333333336,-52.5,43.0,0.0,71.16764481381064,-17.001312435855414
словарь к 25,50.095013589727316,59.79032956686166,52.774083319896306,49.26168490549911,-48.0,-56.83333333333333,34.33333333333333,-31.20598230969861,41.20374093847416,-50.80177533905614
словарь к 60,36.82391356241509,37.896622879943266,36.970279960515796,38.166646870104344,-36.16666666666667,-38.333333333333336,32.833333333333336,-16.452275872174408,19.663673342030492,-34.21754275706482
хапаксы одного домена,61.73722827960266,70.49165855856228,60.440605790159296,68.32417201478225,-45.166666666666664,-59.666666666666664,63.0,-17.272963114137866,11.973597896903222,-10.040452243736484
эхо x2,20.7751047019363,26.655997328855854,19.08706290013433,22.74260389904322,-33.333333333333336,-29.833333333333336,19.0,3.562116582070976,-39.52853474978989,-24.376459468723933
эхо x4,3.543631710949639,6.042529632801262,5.220887153780227,1.3199786675446719,-43.33333333333333,-36.66666666666666,0.5,-8.022638142962816,-57.009027579832065,-59.72038799890248
эхо на четверти,7.802941154905046,10.239378005806975,6.8939804079328715,8.131956607234063,-14.333333333333336,-13.0,8.333333333333336,0.0,-19.080500218263357,-9.890978109085454
