x,y,tok,cls,hap,text,norm
9.009066,-47.970238,Ċ,пункт,повторяется,0,39.09402
-13.291655,-27.713198,ability,подслово,hapax,0,36.78151
-6.077345,-16.071985,fully,подслово,hapax,0,38.172756
31.406929,-3.6774297,ĠWe,служ,повторяется,0,37.47606
9.108846,-48.168835,Ċ,пункт,повторяется,0,39.510033
17.64716,-50.864395,(,пункт,повторяется,0,38.168194
-52.501392,-14.677874,Ġmessage,смысл-редк,повторяется,0,36.297947
9.31926,-48.300278,Ċ,пункт,повторяется,0,39.348656
26.759308,-39.585205,),пункт,повторяется,0,40.452858
-28.762955,25.625244,Ġunder,служ,повторяется,0,37.586754
17.657585,-50.841316,(,пункт,повторяется,0,38.527805
-48.25232,-3.467312,Ġflow,смысл-редк,hapax,0,35.472218
-12.134647,-29.990892,stable,подслово,hapax,0,37.5048
15.675002,45.39503,Ġis,служ,повторяется,0,39.67371
-28.389528,6.340508,Ġcircumvent,смысл-редк,hapax,0,37.07921
-48.194347,-3.4198656,Ġintroduce,смысл-редк,hapax,0,37.26998
-13.289372,-27.862244,poss,подслово,hapax,0,37.756927
-12.747372,-29.814314,agreement,подслово,повторяется,0,35.423355
-52.676876,-13.397642,Ġadversary,смысл-редк,повторяется,0,35.35572
54.526234,-45.603104,",",пункт,повторяется,0,40.909664
9.2960825,-48.211647,Ċ,пункт,повторяется,0,39.688778
-49.816097,-0.5892448,Ġresults,смысл-част,hapax,0,36.029316
40.289192,51.666363,Ġof,служ,повторяется,0,39.71168
16.118862,22.791298,Ġwhere,служ,повторяется,0,39.45689
-12.779607,-30.76542,strong,подслово,hapax,0,36.902523
-23.39903,-38.450886,V,подслово,повторяется,0,35.905308
29.475521,-34.57072,.,пункт,повторяется,0,41.480904
-14.18329,-29.611837,aries,подслово,повторяется,0,36.241783
-9.334166,-33.82564,J,подслово,повторяется,0,35.77639
17.647985,-50.821804,(,пункт,повторяется,0,38.20591
-51.15683,-9.652723,Ġdynamic,смысл-редк,повторяется,0,35.53751
26.851862,-39.846542,),пункт,повторяется,0,41.253433
-51.195152,-9.806399,Ġdynamic,смысл-редк,повторяется,0,34.84589
-26.106562,58.20173,Ġa,служ,повторяется,0,39.315067
-12.913929,-29.410841,arant,подслово,hapax,0,37.939304
31.203285,-3.9337645,We,подслово,hapax,0,37.879757
-51.218678,-9.951082,Ġdirected,смысл-редк,повторяется,0,35.529125
31.850008,-3.892253,ĠOur,служ,повторяется,0,35.928577
3.8655179,79.007355,Ġto,служ,повторяется,0,40.823048
-52.66764,-13.448681,Ġadversary,смысл-редк,повторяется,0,35.567654
-11.907567,-10.884619,Ġparty,смысл-част,hapax,1,36.476803
34.07424,-35.673595,.,пункт,повторяется,1,40.7556
-11.856786,-5.016271,Ġbc,смысл-редк,hapax,1,37.517143
-25.041986,24.941488,Ġbeyond,служ,hapax,1,38.0891
-11.366594,-2.3496995,Ġtoo,служ,повторяется,1,37.72152
-23.241076,-8.863207,Ġoffice,смысл-редк,hapax,1,35.68888
16.814625,-1.3081765,ĠMy,служ,hapax,1,37.723755
44.632553,50.232803,Ġof,служ,повторяется,1,39.13587
4.080832,48.210926,Ġbe,служ,повторяется,1,39.1973
-28.053478,6.501955,Ġhors,смысл-редк,hapax,1,37.41222
-11.1967,-10.781344,night,подслово,hapax,1,39.576225
4.161931,35.520927,Ġhad,служ,повторяется,1,37.79585
20.888922,10.0175,Ġyou,служ,повторяется,1,37.51262
-15.456022,-2.2293928,Ġsucked,смысл-редк,hapax,1,36.11816
65.5964,-5.7862787,Ġthe,служ,повторяется,1,38.373573
-37.750355,-2.0069952,Ġsize,смысл-част,hapax,1,36.241867
-48.75463,-17.419312,Ġcard,смысл-редк,повторяется,1,35.111763
-24.671736,24.904482,Ġwithin,служ,hapax,1,37.71346
-16.95493,-2.697032,Ġhorrible,смысл-редк,hapax,1,36.275784
45.690475,9.509201,Ġit,служ,повторяется,1,38.8616
63.611317,-9.0429,the,подслово,hapax,1,39.19417
-21.418224,-7.3735743,Ġbedroom,смысл-редк,hapax,1,35.319767
-19.826443,-5.0237713,Ġfull,смысл-част,hapax,1,35.933067
58.384766,-2.1174314,ĠThe,служ,повторяется,1,38.33459
28.917273,22.83322,Ġthen,служ,повторяется,1,39.219273
-26.30899,51.88757,Ġa,служ,повторяется,1,39.390205
32.524685,18.576056,Ġso,служ,повторяется,1,39.02309
23.7217,-5.4375405,Ġme,служ,повторяется,1,35.60499
-14.489261,-2.5560293,Ġsoft,смысл-редк,hapax,1,36.61332
-27.154577,26.409582,Ġaround,служ,hapax,1,37.466663
-26.172691,51.731056,Ġa,служ,повторяется,1,39.190224
6.1240253,35.055157,Ġbecame,смысл-част,hapax,1,38.007534
-22.246859,-8.364892,Ġdriver,смысл-редк,hapax,1,36.26517
7.2546115,41.452835,Ġwere,служ,повторяется,1,38.947086
44.67554,49.943108,Ġof,служ,повторяется,1,38.988945
-22.481655,22.140905,Ġback,смысл-част,hapax,1,37.14177
-16.85307,-9.549521,Ġopinion,смысл-редк,hapax,1,36.72572
-23.585466,-8.238878,Ġvan,смысл-редк,повторяется,1,35.696636
6.1080885,4.8113065,ĠApparently,смысл-редк,hapax,1,38.317482
-21.700727,-6.933996,Ġkitchen,смысл-редк,hapax,1,35.809383
19.469582,-48.72575,Ġ(,пункт,повторяется,2,38.927208
-17.36903,-35.06012,ard,подслово,повторяется,2,35.921394
-56.35751,-26.579115,Ġindex,смысл-редк,повторяется,2,36.096394
21.784832,10.418926,Ġyou,служ,повторяется,2,38.40818
-11.574228,-14.697727,emption,подслово,hapax,2,36.774147
21.147646,-35.42568,  ,пункт,повторяется,2,40.0127
21.406303,11.000248,Ġyou,служ,повторяется,2,38.178574
-19.184107,53.389053,An,подслово,hapax,2,38.4022
6.214537,27.959784,Ġwill,служ,повторяется,2,37.588398
25.621712,0.05489603,Ġthem,служ,hapax,2,36.84768
31.754286,-34.791443,.,пункт,повторяется,2,40.389954
68.79099,-4.0823693,Ġthe,служ,повторяется,2,38.20109
-16.881744,16.240475,Ġcharge,смысл-редк,повторяется,2,36.166733
-36.664097,2.1446657,Ġperformance,смысл-част,hapax,2,36.79188
-24.87141,54.308628,Ġa,служ,повторяется,2,39.31969
-54.835163,-27.903738,Ġsecurities,смысл-редк,повторяется,2,35.60511
-18.629482,-12.957218,ĠTotal,смысл-редк,hapax,2,36.57247
29.129631,-32.115566,.,пункт,повторяется,2,41.296696
12.213091,3.0459151,Ġno,служ,повторяется,2,37.533222
-8.380576,-32.59403,BM,подслово,hapax,2,35.435516
5.783185,49.116714,Ġbe,служ,hapax,2,40.69354
-30.921928,-27.314375,ĠER,смысл-редк,повторяется,2,35.849808
38.510418,50.333054,Ġof,служ,повторяется,2,37.571896
-0.5519573,5.739151,Ġanother,служ,hapax,2,38.774406
-54.665997,-28.10782,Ġfunds,смысл-редк,повторяется,2,35.785362
-55.46755,-26.33032,Ġbroker,смысл-редк,повторяется,2,35.67414
-27.93466,39.764942,Ġwith,служ,повторяется,2,36.23253
1.3792958,35.684288,Ġhave,служ,повторяется,2,37.934746
22.1241,10.349277,Ġyou,служ,повторяется,2,37.793587
-54.586586,-28.213186,Ġfunds,смысл-редк,повторяется,2,36.564754
-12.280101,-37.427635,m,подслово,hapax,2,38.03938
-54.620865,-28.171625,Ġfunds,смысл-редк,повторяется,2,36.45907
-55.65288,-26.618479,Ġmutual,смысл-редк,повторяется,2,36.49312
-36.98756,0.15151754,Ġshares,смысл-редк,повторяется,2,35.955265
41.704865,52.331635,Ġof,служ,повторяется,2,38.240215
35.56619,-8.272832,Ġthis,служ,hapax,2,36.222122
8.5375805,45.31992,Ġare,служ,повторяется,2,39.024136
10.367503,-25.47356,'s,подслово,повторяется,2,36.871857
-24.333252,52.573746,Ġa,служ,повторяется,2,38.53491
22.762226,56.251404,Ġas,служ,повторяется,2,38.57468
-24.324755,48.464493,ĠA,служ,повторяется,3,36.964413
-16.408749,42.033558,Ġon,служ,повторяется,3,38.421436
-11.3041115,-16.761177,Ġhost,смысл-редк,hapax,3,36.22523
26.489288,41.340347,Ġor,служ,hapax,3,39.738804
-28.530617,53.60075,Ġa,служ,повторяется,3,37.80126
-17.610294,-37.1751,jo,подслово,повторяется,3,36.543156
-16.822218,4.4008994,Ġsat,смысл-редк,повторяется,3,35.69197
66.99148,20.02522,Ġand,служ,повторяется,3,39.180557
20.989738,-0.12742011,Ġher,служ,повторяется,3,36.348362
-6.7083993,33.983418,Ġabout,служ,повторяется,3,37.705624
-15.044742,1.3592445,Ġfamiliar,смысл-редк,hapax,3,37.779743
-31.328959,-29.404533,ĠArgentina,смысл-редк,повторяется,3,34.98542
-12.824198,-38.05278,M,подслово,hapax,3,37.118355
-25.447252,4.1686025,Ġlooking,смысл-част,повторяется,3,35.269646
-5.4777317,57.40954,Ġin,служ,повторяется,3,38.681896
10.08379,-40.17923,-,пункт,повторяется,3,37.864376
14.611312,18.746763,Ġwho,служ,hapax,3,36.40092
-16.975168,4.4875216,Ġsat,смысл-редк,повторяется,3,36.403744
-21.746387,-35.387016,ĠSport,смысл-редк,hapax,3,35.796703
-15.800064,1.9369203,Ġreasons,смысл-редк,hapax,3,37.539345
28.689068,-59.247475,Ġ.,пункт,повторяется,3,39.36565
28.69833,-59.508087,Ġ.,пункт,повторяется,3,39.71769
-20.945175,-31.699406,cos,подслово,повторяется,3,36.752785
10.256567,-24.437057,'s,подслово,повторяется,3,37.6284
-43.35454,23.108587,ĠSunday,смысл-редк,повторяется,3,37.31794
-6.707261,-15.589579,ty,подслово,hapax,3,37.168434
43.36924,48.072304,Ġof,служ,hapax,3,38.11145
-28.24666,53.441715,Ġa,служ,повторяется,3,38.4763
-15.366395,8.665893,Ġended,смысл-редк,hapax,3,37.29154
35.724907,-43.677105,".""",пункт,hapax,3,40.447628
-15.134108,2.9074247,Ġrespectively,смысл-редк,hapax,3,36.85241
-30.051792,-13.182826,Ġnight,смысл-част,повторяется,3,35.858814
44.86758,-43.288403,",",пункт,повторяется,3,38.502056
-0.54991275,80.10881,Ġto,служ,повторяется,3,39.32047
33.313526,-36.8617,.,пункт,повторяется,3,40.689034
23.554438,54.547626,Ġas,служ,повторяется,3,38.767094
10.560297,-40.366535,-,пункт,повторяется,3,38.256325
4.2784595,37.072117,Ġhad,служ,повторяется,3,38.04409
-15.924394,2.6447093,Ġdeclined,смысл-редк,hapax,3,36.87082
-0.40632135,82.56589,Ġto,служ,повторяется,3,39.260975
-37.82743,-25.859451,Ġaliens,смысл-редк,повторяется,4,34.354244
-7.951117,20.693905,Ġknow,смысл-част,hapax,4,38.925613
-29.599415,55.344574,Ġa,служ,повторяется,4,39.01532
25.984709,40.37267,Ġor,служ,hapax,4,37.671616
9.732338,39.42888,Ġwas,служ,повторяется,4,38.50258
24.309511,30.90632,Ġthan,служ,hapax,4,38.533524
-36.954468,-26.681684,ĠViking,смысл-редк,повторяется,4,35.82083
-33.691704,-23.919249,ĠMart,смысл-редк,повторяется,4,34.52621
