остров,точек,главный токен,"чистота, %",класс,"hapax, %",норма
1,829,Ġthink,0.72,смысл-редк,68.4,36.48
7,120,.,100.0,пункт,0.0,41.03
5,114,",",98.25,пункт,0.0,41.39
13,108,Ġthe,97.22,служ,0.93,38.83
6,96,Ġof,97.92,служ,3.12,38.78
8,94,Ġa,85.11,служ,5.32,38.88
9,86,Ġto,98.84,служ,1.16,40.31
35,81,Ġthe,35.8,сток,0.0,26.39
19,77,Ġmulti,2.6,смысл-редк,33.77,35.6
27,57,Ġyour,24.56,служ,31.58,36.84
28,54,Ġin,88.89,служ,12.96,39.23
37,54,"Ġ""",37.04,пункт,18.52,39.09
26,53,Ġand,100.0,служ,0.0,40.64
14,45,Ġdata,8.89,смысл-редк,11.11,34.95
17,45,Ġwas,35.56,служ,17.78,39.03
0,42,Ċ,100.0,пункт,0.0,40.12
33,41,Ġthat,92.68,служ,9.76,39.74
11,41,Ġhave,41.46,служ,26.83,38.44
12,40,Ġyou,97.5,служ,2.5,37.67
15,36,Ġit,94.44,служ,5.56,38.1
30,36,Ġ.,47.22,пункт,2.78,39.96
40,33,Ġsome,21.21,служ,81.82,37.39
42,33,Ġthey,42.42,служ,6.06,37.39
4,33,Ġis,100.0,служ,3.03,40.11
22,32,'s,46.88,подслово,18.75,38.2
41,32,ĠWest,15.62,смысл-редк,18.75,36.29
3,31,ability,3.23,подслово,74.19,36.73
51,28,ĠI,39.29,служ,21.43,39.22
36,27,Ġfor,100.0,служ,0.0,39.54
18,25,ish,8.0,подслово,0.0,36.71
23,25,Ġas,88.0,служ,16.0,39.05
34,25,ĠI,96.0,служ,8.0,38.18
29,23,-,100.0,пункт,17.39,37.62
24,23,Ġon,100.0,служ,4.35,38.65
59,23,Ġstructure,8.7,смысл-редк,60.87,36.26
21,22,Ġthis,72.73,служ,13.64,36.96
47,21,Ġbut,71.43,служ,38.1,38.93
31,20,Ġaliens,10.0,смысл-редк,35.0,35.53
49,20,Ġso,45.0,служ,45.0,38.52
2,19,Ġwe,36.84,служ,15.79,36.77
48,19,Ġwould,36.84,служ,26.32,37.96
10,19,Ġbe,100.0,служ,15.79,40.03
25,19,Ġor,100.0,служ,26.32,39.59
53,18,Ġvery,27.78,служ,50.0,37.1
44,18,Ġnot,94.44,служ,22.22,38.55
45,17,Ġone,76.47,служ,29.41,37.22
20,17,Ġwith,100.0,служ,17.65,38.45
52,16,74,12.5,пункт,56.25,38.13
54,14,?,100.0,пункт,21.43,40.77
39,14,Ġcan,78.57,служ,42.86,38.48
55,13,Ġconsequence,23.08,смысл-редк,23.08,36.14
58,13,Ġunits,15.38,смысл-редк,76.92,35.92
43,13,Ġmore,92.31,служ,38.46,37.46
16,13,ĠThe,100.0,служ,0.0,38.65
38,12,Ġsaid,58.33,смысл-част,41.67,36.65
56,12,:,66.67,пункт,16.67,39.55
46,12,ĠLeague,16.67,смысл-редк,8.33,35.84
61,11,Ġthings,45.45,смысл-част,18.18,36.09
62,9,Ġcommon,11.11,смысл-редк,100.0,36.61
32,9,Ġexplain,33.33,смысл-редк,55.56,36.41
57,9,Ġhealth,33.33,смысл-част,33.33,35.11
50,9,Ġtests,11.11,смысл-редк,77.78,36.39
60,7,Ġalso,71.43,служ,57.14,38.16
64,6,(,83.33,пункт,0.0,38.94
63,4,Ġadvances,25.0,смысл-редк,25.0,36.56
