текст,id,радиус,радиус_смысл,одиночек,типов,токенов,полное: крупный,полное: мелкий,полное: средний,центры: крупный,центры: мелкий,центры: средний
0,ebf79003-23f5-4bdb-a053-11066491da53,0.21960956148002253,0.1998044091956174,31.17505995203837,203,417,19.548385711472037,3.2231621900938787,13.096326771221978,23.119681334313753,13.013308645499508,19.98616208647908
1,2074ade5-29c8-4edc-9c22-3d49b5176966,0.26140453773994765,0.2319688076004104,43.4375,192,320,19.129294165230448,3.832864625959731,15.615491371951478,,,
2,d0560139-1593-44f5-8481-448c7e85e196,0.22800500182695,0.23412886035764033,24.466019417475728,217,515,18.314282115554136,2.9355192614817724,12.27409995265355,20.734871344367928,13.707181110793057,20.597511539571776
3,f8eb1da5-284e-44d6-8344-5f6182600c4d,0.2531932983656776,0.24121983590899657,33.46456692913386,262,508,18.616674902398106,4.280649581777116,15.953917782947343,24.622726055184646,15.058693102777369,25.168875415902864
4,4a3811db-ffcf-4540-a889-89832af944d2,0.23791810742268246,0.20046414261933385,35.294117647058826,186,340,17.994914784164205,3.697601869327369,15.717468376348203,,,
5,5db0853d-d557-4cbd-a1be-9f5a46899842,0.2564841319475641,0.222759079802535,39.0745501285347,212,389,18.919250611557477,3.580703345972017,15.145477335043102,19.66337758997246,14.129024390306654,21.365189705181557
6,e6227b37-6547-4e88-9da1-87d86da39b5b,0.27463701510809,0.254619669305727,32.59668508287293,337,724,21.87630098398457,4.757654557096156,16.709300185102325,28.068740674735665,17.373854311632698,26.95374397812011
7,54678547-e5bd-480b-9476-909f5e4dca52,0.2651092116102441,0.2529122395818015,38.764044943820224,200,356,23.552904509892098,4.629557926700591,18.012998381924128,,,
8,1fbe2c1a-8100-4bee-a143-333c565c6e37,0.22107812641692573,0.19697895261653864,31.444759206798867,184,353,16.687132511510697,3.152149831891679,13.239949535878804,,,
9,8ebb5d83-8aea-4fce-a718-77a8e956ce79,0.2870320986307685,0.2825932603985826,23.279352226720647,178,494,19.776419303046815,4.457584907072512,11.04725602170021,,,
