токен,класс,k,размах,диаметр,мин. пара
Ġat,служ,2,0.5017112167881345,0.5017112167881345,0.5017112167881345
ary,подслово,2,0.2835232044980674,0.2835232044980674,0.2835232044980674
ĠV,смысл-част,4,0.33656959307669887,0.49162520671922866,0.16499916083394325
Ġadversary,смысл-редк,3,0.34403573918539904,0.3862389357917302,0.3219071484000584
d,подслово,3,0.39054138509498754,0.44360061919321514,0.3385467033127479
Ċ,пункт,13,0.3510720207166984,0.7366176984345458,0.18481981770870232
J,подслово,2,0.21872424401975246,0.21872424401975246,0.21872424401975246
k,подслово,6,0.4460939328172558,0.5214453394129285,0.28248607463001374
",",пункт,10,0.6858040716623702,1.3745551178976136,0.24340044825823548
ĠWe,служ,3,0.2372156844256946,0.25972518340817496,0.21222027999463483
Ġthe,служ,6,0.8458191585753283,1.291093519619628,0.05989242567316732
.,пункт,2,0.38050268904597195,0.38050268904597195,0.38050268904597195
Ġ(,пункт,2,0.5515372938045343,0.5515372938045343,0.5515372938045343
$-,пункт,2,0.3856244552533584,0.3856244552533584,0.3856244552533584
),пункт,8,0.4964394872393561,0.7785522928318431,0.286414353686189
Ġis,служ,4,0.5706889594022448,0.6268844705154248,0.4931972161924563
Ġwith,служ,2,0.5360736726907845,0.5360736726907845,0.5360736726907845
(,пункт,5,0.34379841135957523,0.46680960323052206,0.1699585993165645
Ġdynamic,смысл-редк,3,0.4337811827681771,0.5405388107266494,0.2546388319855102
Ġa,служ,5,0.44333892571692207,0.5598297846779388,0.3803332745603712
Ġmessage,смысл-редк,4,0.429410844943257,0.5514838915719956,0.1881912037717196
Ġof,служ,2,0.4719824654632982,0.4719824654632982,0.4719824654632982
Ġin,служ,3,0.5197484363682433,0.6040250769479611,0.36499702025530817
SRC,подслово,2,0.2042748184705226,0.2042748184705226,0.2042748184705226
Ġ$,пункт,3,0.4243060179843599,0.4454967368776347,0.4046297523123405
$,пункт,3,0.634179201118059,0.7813120880107699,0.34526868788688664
Ġto,служ,3,0.5078890070353392,0.5141750114121265,0.4976551140552557
ĠOur,служ,2,0.2806390242751726,0.2806390242751726,0.2806390242751726
Ġagreement,смысл-редк,2,0.2858353289337929,0.2858353289337929,0.2858353289337929
Ġthat,служ,2,0.7132333518739217,0.7132333518739217,0.7132333518739217
Ġthat,служ,6,0.5428519571451829,0.7187495304496396,0.29933473347958023
Ġ(,пункт,3,0.5277026255454723,0.5558029078504853,0.48613083317753913
Ġcomponents,смысл-редк,2,0.3744343903230058,0.3744343903230058,0.3744343903230058
(,пункт,3,0.21454871624145908,0.22721648933318683,0.1939332857058917
Ġ$,пункт,4,0.29622690036520966,0.3272801943707988,0.2706840964668501
Ċ,пункт,16,0.2960341535670249,0.4825535572058173,0.18624922242755662
Ġa,служ,5,0.4150808116444055,0.5641198907149281,0.20067289972356958
Ġmessage,смысл-редк,3,0.44649938824587315,0.472526418589451,0.4235808506377148
$,пункт,3,0.43978867514989506,0.5013406745378918,0.3479390113286942
Ġdynamic,смысл-редк,2,0.5100806152969187,0.5100806152969187,0.5100806152969187
ad,подслово,2,0.27243169455811717,0.27243169455811717,0.27243169455811717
ĠV,смысл-част,2,0.3892340205915987,0.3892340205915987,0.3892340205915987
Ġmost,служ,2,0.518406015727808,0.518406015727808,0.518406015727808
set,подслово,2,0.28122564195402944,0.28122564195402944,0.28122564195402944
Ġnetwork,смысл-част,2,0.37869267187528644,0.37869267187528644,0.37869267187528644
Ġis,служ,3,0.46063316616818895,0.5988618278381161,0.1911068388387828
k,подслово,5,0.42456792087875916,0.5473379835185477,0.27867704210470473
),пункт,3,0.5569338029432463,0.6110972176893746,0.48805541127688534
Ġof,служ,3,0.424367175866302,0.446612094331037,0.39362402414980374
Ġin,служ,4,0.46159640004863683,0.6086966338513261,0.20742780813634137
",",пункт,10,0.7319008713095971,1.3661620663922491,0.26413349386124524
:,пункт,2,0.33666208039036244,0.33666208039036244,0.33666208039036244
ing,подслово,2,0.5176633807253241,0.5176633807253241,0.5176633807253241
Ġd,служ,2,0.2659021347745603,0.2659021347745603,0.2659021347745603
Ġadversary,смысл-редк,3,0.3449334584215798,0.3889656855581054,0.3193680264780724
Ġlinks,смысл-редк,2,0.5335183588144237,0.5335183588144237,0.5335183588144237
SRC,подслово,2,0.2635882812404489,0.2635882812404489,0.2635882812404489
Ġunder,служ,2,0.3291130161054214,0.3291130161054214,0.3291130161054214
ĠWe,служ,2,0.2415554526684858,0.2415554526684858,0.2415554526684858
Ġnetwork,смысл-част,2,0.376345713631001,0.376345713631001,0.376345713631001
",",пункт,9,0.8089191932730448,1.3929819972021211,0.15773722522168138
.,пункт,3,0.3251129147674777,0.3810690997123459,0.2216037518656682
Ġis,служ,4,0.5463731247470999,0.6278176414519415,0.4195428450950717
Ġshow,смысл-част,2,0.2274200647442402,0.2274200647442402,0.2274200647442402
Ċ,пункт,10,0.29590521513476586,0.4118067975495673,0.18678312729725075
Ġwe,служ,2,0.17030919483938042,0.17030919483938042,0.17030919483938042
Ġdynamic,смысл-редк,3,0.4344269030110701,0.5413434487930777,0.25501788357873606
Ġthat,служ,2,0.6230268684777255,0.6230268684777255,0.6230268684777255
n,подслово,2,0.2616646290110462,0.2616646290110462,0.2616646290110462
$,пункт,3,0.6674570862474154,0.8082237233135007,0.4116723978176537
ĠOur,служ,2,0.28105677936948953,0.28105677936948953,0.28105677936948953
Cs,подслово,2,0.3666891941226824,0.3666891941226824,0.3666891941226824
k,подслово,6,0.40220439301300925,0.5439458413192594,0.27694993347537245
Ġin,служ,3,0.4649640472125116,0.5976480636128684,0.2061422685931839
agreement,подслово,2,0.5584719630811119,0.5584719630811119,0.5584719630811119
),пункт,6,0.4598186277376006,0.5936722231433124,0.28684070585031485
Ġ(,пункт,3,0.5244321740170022,0.5523583040499472,0.4831180239750862
Ġmessage,смысл-редк,4,0.44910699669064524,0.5672261755706517,0.3368402733472684
ĠV,смысл-част,2,0.49235703271930836,0.49235703271930836,0.49235703271930836
Ġwhere,служ,2,0.47572190542417236,0.47572190542417236,0.47572190542417236
d,подслово,3,0.3911227392155929,0.4442609565037112,0.3390506589202703
Ġmost,служ,2,0.32046915769546674,0.32046915769546674,0.32046915769546674
set,подслово,2,0.27948273830706943,0.27948273830706943,0.27948273830706943
SR,подслово,2,0.31886844775997325,0.31886844775997325,0.31886844775997325
$-,пункт,4,0.3313498205755941,0.4107858530742797,0.2481485752500083
Ġ+,пункт,2,0.5063936518151602,0.5063936518151602,0.5063936518151602
Ġ$,пункт,4,0.34532832050563583,0.46325942303325,0.23370790053160523
Ġadversary,смысл-редк,2,0.3173887343544827,0.3173887343544827,0.3173887343544827
Ġa,служ,5,0.48530367775474903,0.5685300957779332,0.19942922391099407
Ġagainst,служ,2,0.5138955576718702,0.5138955576718702,0.5138955576718702
Ġconsensus,смысл-редк,2,0.45508739677074306,0.45508739677074306,0.45508739677074306
SRC,подслово,3,0.23048251659021798,0.261954685621366,0.20430837001556487
Ġof,служ,2,0.4018016834449149,0.4018016834449149,0.4018016834449149
Ġprocesses,смысл-редк,2,0.2946140566956817,0.2946140566956817,0.2946140566956817
(,пункт,2,0.28499234635569975,0.28499234635569975,0.28499234635569975
Ġagreement,смысл-редк,2,0.28626081917024965,0.28626081917024965,0.28626081917024965
ary,подслово,2,0.28394525294033957,0.28394525294033957,0.28394525294033957
Ġit,служ,4,0.5550347002142609,0.7117121078409129,0.4626212230639748
ĠI,служ,5,0.48307511717945234,0.643017173515337,0.29831434643085947
Ġcalled,смысл-част,2,0.47595719906766065,0.47595719906766065,0.47595719906766065
Ġwas,служ,4,0.4644395852307881,0.5798591565162234,0.37484479441975993
Ġand,служ,5,0.5379432752465532,0.7325236919513292,0.2451272819058598
Ġa,служ,4,0.44674271522348813,0.5364653319839887,0.40636982443465414
Ġmy,служ,5,0.35977181648829254,0.4744908885819088,0.23999008711718137
Ġthen,служ,2,0.4780336513175018,0.4780336513175018,0.4780336513175018
Ġhotel,смысл-редк,3,0.3493252002272598,0.38753335366427866,0.32049899320163033
Ġbe,служ,2,0.5574917086193069,0.5574917086193069,0.5574917086193069
Ġfound,смысл-част,2,0.3364101703290497,0.3364101703290497,0.3364101703290497
Ġthe,служ,7,0.8925050632039382,1.4091799707810262,0.28592052764503756
Ġto,служ,2,0.45139042559749826,0.45139042559749826,0.45139042559749826
Ġfriend,смысл-част,2,0.3639678260057423,0.3639678260057423,0.3639678260057423
Ġme,служ,3,0.3244861096151883,0.3615298795542944,0.26878169862733
Ġof,служ,3,0.5536780329845901,0.6358069067633886,0.40965657362625296
.,пункт,5,0.7851141763282509,1.466158814300877,0.26196093962826783
Ġvan,смысл-редк,2,0.47396338453563897,0.47396338453563897,0.47396338453563897
ĠID,смысл-редк,3,0.3616122350529251,0.422471976761906,0.24534876380064377
Ġdidn,смысл-част,2,0.3664864993018512,0.3664864993018512,0.3664864993018512
Ġon,служ,2,0.5011663637193393,0.5011663637193393,0.5011663637193393
Ġwere,служ,2,0.4783598525686242,0.4783598525686242,0.4783598525686242
