mode,q,mean_d,cv_within,cv_between,rel_resid,rel_dse,variant
q0.5_range,0.0,5.055912279787796,0.12328110620033464,0.1391138877450297,0.013354611519696266,0.08407173230020855,baseline
q0.5_range,0.3,12.59170171243923,0.12713800042369292,0.16346225309620876,0.005375769526627721,0.09672849968795079,baseline
q0.5_range,0.5,18.942438390723403,0.1121925440511113,0.1551442431541845,0.0024885310471846537,0.07333934805620264,baseline
q_large,0.0,9.011246133451833,0.10000711757233725,0.12200625151190718,0.00536213870695892,0.06866482213542083,baseline
q_large,0.3,6.772075991666819,0.11339417453600213,0.12888101527127785,0.008396606994906375,0.07655926299956678,baseline
q_large,0.5,5.055912279787796,0.12328110620033464,0.1391138877450297,0.013354611519696266,0.08407173230020855,baseline
q_large,0.6,4.211501025291736,0.12589286089139543,0.14144772982953244,0.017736866729920555,0.08787634945198634,baseline
q_large,0.9,3.3735283825912266,0.23950209149974663,0.1833751976441685,0.04618198649952379,0.1565080343901422,baseline
q_small,0.0,9.011246133451833,0.10000711757233725,0.12200625151190718,0.00536213870695892,0.06866482213542083,baseline
q_small,0.3,14.282060439774204,0.11213876948125287,0.15563930980387292,0.004013720197796987,0.08432321855065243,baseline
q_small,0.5,18.942438390723403,0.1121925440511113,0.1551442431541845,0.0024885310471846537,0.07333934805620264,baseline
q_small,0.6,19.92561065223903,0.12577682289266012,0.17435701470012632,0.0024507980335813583,0.07605271342687286,baseline
q_small,0.9,21.4995200430806,0.22755724597101576,0.2789050189079301,0.00349983192150305,0.11672903973327013,baseline
q0.5_range,0.0,4.560545554820824,0.07881319789537837,0.1305007171429676,0.010979410960650889,0.06306700668201458,no_replace
q0.5_range,0.3,10.489342801773814,0.09715039810917661,0.14791350775389342,0.006159593758292971,0.09185802485720793,no_replace
q0.5_range,0.5,15.261050308200806,0.08922416150506716,0.13970020355423984,0.002178295155450842,0.05149982557743663,no_replace
q_large,0.0,7.894680872737046,0.06616568762433359,0.10812718102110994,0.004545743502237315,0.05154566346617595,no_replace
q_large,0.3,6.034264221985319,0.07172107393214402,0.1179111443796558,0.006990257502687525,0.057471134903242786,no_replace
q_large,0.5,4.560545554820824,0.07881319789537837,0.1305007171429676,0.010979410960650889,0.06306700668201458,no_replace
q_large,0.6,3.823542140577855,0.08165512255060525,0.13379310022515084,0.013676567014051733,0.06230578975167282,no_replace
q_large,0.9,3.345010200589225,0.2342971267832492,0.16464128748911655,0.030674622740567144,0.10476791201344099,no_replace
q_small,0.0,7.894680872737046,0.06616568762433359,0.10812718102110994,0.004545743502237315,0.05154566346617595,no_replace
q_small,0.3,11.783144373657485,0.0856427882118042,0.1386995077535478,0.004601494665583279,0.0794806122181669,no_replace
q_small,0.5,15.261050308200806,0.08922416150506716,0.13970020355423984,0.002178295155450842,0.05149982557743663,no_replace
q_small,0.6,15.910350680342209,0.09695187672685238,0.1536025249716364,0.002065736165092055,0.051340150136736123,no_replace
