признак,тип,крупный общая,крупный внутри,крупный групп,мелкий общая,мелкий внутри,мелкий групп,средний общая,средний внутри,средний групп
уместность слов,судья,0.402,0.022,32,-0.293,0.007,32,0.18,0.028,32
связность изложения,судья,0.4,0.017,35,-0.244,-0.105,35,0.2,-0.007,35
тематический разброс,судья,0.13,0.007,36,0.234,-0.052,36,0.376,0.07,36
скорость подачи нового,судья,0.213,0.053,34,0.271,-0.095,34,0.443,0.024,34
грамотность,судья,0.397,0.058,34,-0.233,-0.027,34,0.226,0.067,34
жёсткость формы,судья,-0.09,-0.051,36,-0.212,0.095,36,-0.224,-0.123,36
пунктуация,судья,0.313,0.008,40,-0.25,-0.041,40,0.146,0.016,40
синтаксическая сложность,судья,0.273,-0.061,23,0.098,-0.068,23,0.326,-0.004,23
смысловая сложность,судья,0.063,-0.108,27,-0.011,-0.146,27,0.144,-0.1,27
естественность как текста,судья,0.429,0.016,31,-0.218,-0.038,31,0.222,0.03,31
разнообразие словаря (сдвиг),механика,0.236,0.145,34,0.515,0.196,34,0.703,0.387,34
доля однократных слов (сдвиг),механика,0.035,0.131,34,0.361,0.181,34,0.427,0.265,34
энтропия словоупотребления (сдвиг),механика,0.302,0.139,35,0.422,0.134,35,0.723,0.362,35
редкость лексики (сдвиг),механика,0.149,0.017,35,-0.004,0.017,35,0.273,0.154,35
повтор триграмм (сдвиг),механика,-0.14,-0.048,35,-0.61,-0.209,35,-0.571,-0.209,35
доля повторов вплотную (сдвиг),механика,-0.193,0.02,35,-0.214,0.066,35,-0.356,-0.081,35
разнообразие пунктуации (сдвиг),механика,0.113,0.068,25,0.306,-0.051,25,0.264,0.081,25
разброс длин предложений (сдвиг),механика,-0.185,-0.068,28,-0.099,-0.077,28,-0.158,-0.085,28
однотипность зачинов (сдвиг),механика,-0.081,-0.044,33,-0.344,-0.127,33,-0.303,-0.081,33
доля имён собственных (сдвиг),механика,-0.05,0.013,39,0.013,-0.04,39,0.098,0.024,39
разнообразие словаря,механика,0.209,-0.01,40,0.36,-0.057,40,0.592,0.125,40
доля однократных слов,механика,-0.011,-0.064,40,0.271,-0.04,40,0.351,0.068,40
энтропия словоупотребления,механика,0.279,0.109,40,0.381,0.058,40,0.587,0.202,40
редкость лексики,механика,0.166,0.008,40,-0.007,0.046,40,0.251,0.03,40
повтор триграмм,механика,-0.135,-0.056,40,-0.522,0.011,40,-0.522,-0.21,40
доля повторов вплотную,механика,-0.179,-0.107,40,-0.335,-0.16,40,-0.33,-0.136,40
разнообразие пунктуации,механика,0.036,-0.1,39,0.22,-0.065,39,0.161,-0.086,39
разброс длин предложений,механика,-0.109,0.098,39,-0.104,-0.056,39,-0.117,0.033,39
однотипность зачинов,механика,-0.152,-0.165,39,-0.331,-0.055,39,-0.33,-0.188,39
доля имён собственных,механика,-0.015,0.036,39,0.011,-0.031,39,0.031,-0.005,39
